ROILimits_1,ROILimits_2,Value
197,222,P
228,254,QRS
275,322,T
417,441,P
449,474,QRS
491,541,T
644,669,P
678,701,QRS
721,768,T
862,887,P
891,917,QRS
938,986,T
1070,1093,P
1099,1124,QRS
1147,1191,T
1278,1301,P
1310,1333,QRS
1356,1402,T
1498,1522,P
1524,1553,QRS
1573,1621,T
1724,1750,P
1752,1780,QRS
1797,1847,T
1948,1971,P
1978,2002,QRS
2024,2070,T
2158,2181,P
2186,2212,QRS
2238,2281,T
2366,2390,P
2392,2421,QRS
2441,2489,T
2577,2603,P
2609,2633,QRS
2656,2700,T
2793,2818,P
2826,2849,QRS
2871,2917,T
3007,3031,P
3039,3062,QRS
3084,3131,T
3207,3232,P
3236,3263,QRS
3285,3329,T
3401,3425,P
3432,3455,QRS
3476,3524,T
3596,3620,P
3623,3651,QRS
3673,3720,T
3814,3839,P
3846,3870,QRS
3891,3938,T
4082,4110,P
4115,4139,QRS
4160,4208,T
4313,4334,P
4343,4367,QRS
4390,4434,T
4514,4540,P
4546,4570,QRS
4593,4642,T
4681,4710,P
4718,4758,QRS
4780,4834,T
4890,4907,P
4918,4944,QRS
4971,5015,T
5067,5091,P
5096,5122,QRS
5151,5190,T
5235,5259,P
5266,5289,QRS
5307,5357,T
5403,5424,P
5430,5455,QRS
5478,5521,T
5563,5588,P
5592,5617,QRS
5643,5683,T
5718,5743,P
5746,5774,QRS
5796,5840,T
5876,5899,P
5901,5930,QRS
5949,5999,T
6031,6056,P
6061,6085,QRS
6106,6152,T
6191,6216,P
6220,6245,QRS
6261,6310,T
6363,6386,P
6394,6417,QRS
6431,6483,T
6535,6559,P
6566,6589,QRS
6606,6654,T
6709,6731,P
6734,6763,QRS
6786,6837,T
6882,6907,P
6913,6937,QRS
6962,7003,T
7073,7097,P
7104,7127,QRS
7145,7195,T
7273,7298,P
7305,7328,QRS
7346,7397,T
7485,7512,P
7514,7540,QRS
7560,7610,T
7702,7726,P
7733,7756,QRS
7771,7825,T
7899,7923,P
7928,7953,QRS
7975,8023,T
8091,8116,P
8119,8145,QRS
8166,8212,T
8277,8304,P
8305,8332,QRS
8355,8403,T
8470,8496,P
8501,8525,QRS
8544,8593,T
8665,8690,P
8693,8720,QRS
8744,8789,T
8865,8890,P
8892,8919,QRS
8941,8987,T
9056,9082,P
9085,9112,QRS
9132,9179,T
9245,9268,P
9276,9299,QRS
9323,9367,T
9427,9451,P
9453,9481,QRS
9506,9549,T
9615,9640,P
9646,9669,QRS
9693,9737,T
9812,9837,P
9841,9868,QRS
9889,9936,T
10025,10050,P
10053,10081,QRS
10103,10150,T
10270,10293,P
10303,10325,QRS
10344,10394,T
10485,10509,P
10516,10539,QRS
10562,10608,T
10687,10710,P
10718,10741,QRS
10762,10810,T
10889,10913,P
10921,10944,QRS
10971,11013,T
11091,11118,P
11122,11147,QRS
11168,11217,T
11297,11322,P
11326,11352,QRS
11374,11422,T
11494,11516,P
11519,11548,QRS
11569,11618,T
11687,11712,P
11716,11743,QRS
11768,11813,T
11887,11911,P
11919,11942,QRS
11962,12011,T
12096,12120,P
12127,12151,QRS
12175,12221,T
12301,12326,P
12331,12356,QRS
12383,12425,T
12498,12519,P
12529,12551,QRS
12575,12620,T
12691,12714,P
12718,12746,QRS
12768,12816,T
12890,12914,P
12918,12945,QRS
12964,13013,T
13091,13115,P
13118,13145,QRS
13173,13214,T
13285,13307,P
13314,13339,QRS
13362,13407,T
