ROILimits_1,ROILimits_2,Value
282,308,P
322,346,QRS
387,440,T
538,560,P
574,597,QRS
638,692,T
792,814,P
828,853,QRS
896,947,T
1049,1069,P
1084,1107,QRS
1147,1202,T
1299,1321,P
1336,1361,QRS
1404,1455,T
1549,1578,P
1592,1616,QRS
1658,1711,T
1815,1836,P
1851,1874,QRS
1917,1971,T
2068,2090,P
2104,2127,QRS
2169,2222,T
2323,2345,P
2359,2385,QRS
2426,2478,T
2583,2604,P
2619,2641,QRS
2682,2736,T
2837,2860,P
2874,2896,QRS
2938,2993,T
3086,3114,P
3128,3153,QRS
3194,3243,T
3346,3374,P
3388,3412,QRS
3453,3506,T
3542,3563,P
3574,3596,QRS
3637,3685,T
3854,3882,P
3896,3921,QRS
3962,4012,T
4122,4149,P
4163,4187,QRS
4228,4276,T
4382,4405,P
4419,4441,QRS
4482,4534,T
4632,4653,P
4667,4692,QRS
4732,4785,T
4878,4907,P
4922,4947,QRS
4986,5039,T
5140,5160,P
5175,5198,QRS
5240,5291,T
5389,5412,P
5425,5448,QRS
5488,5539,T
5629,5657,P
5671,5695,QRS
5735,5788,T
5878,5907,P
5921,5946,QRS
5987,6038,T
6138,6158,P
6173,6196,QRS
6237,6289,T
6384,6405,P
6419,6443,QRS
6480,6536,T
6626,6655,P
6669,6694,QRS
6735,6784,T
6877,6905,P
6919,6943,QRS
6986,7037,T
7131,7152,P
7166,7189,QRS
7227,7282,T
7373,7394,P
7408,7432,QRS
7474,7525,T
7610,7638,P
7652,7677,QRS
7719,7768,T
7863,7884,P
7898,7920,QRS
7960,8016,T
8102,8124,P
8139,8161,QRS
8200,8253,T
8340,8369,P
8383,8407,QRS
8447,8498,T
8591,8619,P
8632,8657,QRS
8698,8747,T
8844,8864,P
8878,8901,QRS
8940,8994,T
9086,9108,P
9121,9146,QRS
9185,9237,T
9333,9354,P
9368,9393,QRS
9433,9483,T
9574,9600,P
9615,9638,QRS
9678,9730,T
9823,9845,P
9859,9882,QRS
9921,9976,T
10067,10096,P
10110,10135,QRS
10176,10227,T
10319,10348,P
10362,10387,QRS
10429,10478,T
10576,10597,P
10612,10634,QRS
10676,10727,T
10825,10847,P
10861,10885,QRS
10928,10978,T
