ROILimits_1,ROILimits_2,Value
46,78,P
95,128,QRS
153,208,T
307,340,P
356,387,QRS
408,469,T
573,605,P
623,655,QRS
677,735,T
844,877,P
894,927,QRS
948,1007,T
1117,1148,P
1165,1195,QRS
1221,1278,T
1380,1412,P
1428,1459,QRS
1480,1542,T
1648,1680,P
1698,1728,QRS
1754,1811,T
1918,1950,P
1967,1997,QRS
2021,2079,T
2180,2211,P
2228,2257,QRS
2282,2339,T
2439,2472,P
2488,2518,QRS
2544,2599,T
2703,2735,P
2753,2784,QRS
2801,2864,T
2953,2984,P
3001,3033,QRS
3053,3112,T
3192,3224,P
3241,3270,QRS
3294,3351,T
3433,3465,P
3483,3512,QRS
3537,3594,T
3686,3717,P
3736,3766,QRS
3787,3848,T
3950,3982,P
4001,4031,QRS
4056,4114,T
4240,4272,P
4291,4324,QRS
4347,4403,T
4546,4575,P
4594,4625,QRS
4649,4708,T
4843,4874,P
4891,4925,QRS
4953,5005,T
5145,5175,P
5192,5222,QRS
5247,5305,T
5449,5480,P
5496,5527,QRS
5558,5610,T
5737,5768,P
5784,5818,QRS
5836,5899,T
6018,6050,P
6067,6099,QRS
6129,6180,T
6307,6339,P
6355,6387,QRS
6408,6469,T
6591,6622,P
6640,6670,QRS
6694,6753,T
6866,6898,P
6914,6947,QRS
6972,7028,T
7140,7172,P
7189,7218,QRS
7245,7301,T
7422,7453,P
7469,7500,QRS
7526,7583,T
7699,7730,P
7747,7780,QRS
7803,7859,T
7968,8000,P
8016,8046,QRS
8074,8129,T
8242,8273,P
8290,8320,QRS
8347,8403,T
8517,8548,P
8565,8598,QRS
8617,8677,T
8789,8820,P
8837,8869,QRS
8890,8949,T
9062,9094,P
9111,9141,QRS
9161,9225,T
9346,9377,P
9394,9424,QRS
9451,9508,T
9617,9650,P
9667,9700,QRS
9723,9781,T
9882,9914,P
9932,9961,QRS
9987,10046,T
10155,10187,P
10205,10235,QRS
10259,10319,T
10430,10461,P
10478,10508,QRS
10526,10593,T
10693,10726,P
10742,10774,QRS
10796,10855,T
10957,10988,P
11006,11036,QRS
11062,11118,T
11217,11247,P
11265,11295,QRS
11323,11376,T
11476,11507,P
11524,11556,QRS
11573,11635,T
11729,11761,P
11778,11809,QRS
11828,11889,T
11995,12025,P
12043,12075,QRS
12093,12154,T
12263,12293,P
12310,12343,QRS
12368,12422,T
12526,12558,P
12575,12607,QRS
12632,12688,T
12790,12822,P
12840,12873,QRS
12894,12953,T
13070,13102,P
13120,13153,QRS
13175,13236,T
13338,13370,P
13388,13420,QRS
13439,13502,T
13590,13622,P
13638,13672,QRS
13700,13751,T
13825,13858,P
13874,13902,QRS
13932,13986,T
14057,14090,P
14106,14135,QRS
14162,14217,T
14291,14323,P
14341,14370,QRS
14393,14451,T
14532,14563,P
14581,14610,QRS
14635,14692,T
14782,14813,P
14832,14861,QRS
14886,14941,T
15042,15073,P
15091,15121,QRS
15144,15202,T
15326,15357,P
15375,15406,QRS
15435,15487,T
15650,15680,P
15697,15731,QRS
15757,15811,T
15983,16013,P
16028,16060,QRS
16081,16143,T
16318,16347,P
16364,16394,QRS
16417,16479,T
16642,16672,P
16689,16721,QRS
16747,16803,T
16960,16991,P
17007,17038,QRS
17067,17124,T
17277,17308,P
17324,17355,QRS
17385,17440,T
17585,17616,P
17632,17663,QRS
17692,17747,T
17890,17921,P
17937,17971,QRS
17989,18053,T
18186,18217,P
18233,18266,QRS
18284,18348,T
18477,18508,P
18524,18557,QRS
18581,18639,T
18756,18787,P
18803,18834,QRS
18859,18917,T
19028,19061,P
19077,19110,QRS
19133,19192,T
19310,19342,P
19359,19392,QRS
19411,19473,T
19579,19611,P
19628,19659,QRS
19685,19743,T
19843,19875,P
19893,19924,QRS
19944,20005,T
20106,20138,P
20156,20188,QRS
20213,20267,T
20373,20404,P
20421,20455,QRS
20477,20534,T
20636,20667,P
20684,20717,QRS
20739,20798,T
20890,20922,P
20940,20969,QRS
20992,21051,T
21153,21185,P
21202,21234,QRS
21258,21314,T
21421,21452,P
21469,21502,QRS
21523,21582,T
21686,21717,P
21734,21764,QRS
