ROILimits_1,ROILimits_2,Value
200,217,P
240,262,QRS
268,349,T
475,496,P
505,527,QRS
534,618,T
740,760,P
770,792,QRS
797,879,T
1005,1025,P
1038,1060,QRS
1067,1144,T
1272,1292,P
1304,1326,QRS
1333,1418,T
1543,1564,P
1576,1599,QRS
1606,1682,T
1815,1834,P
1847,1869,QRS
1876,1954,T
2087,2108,P
2116,2162,QRS
2175,2228,T
2359,2379,P
2392,2413,QRS
2420,2498,T
2635,2654,P
2657,2700,QRS
2734,2772,T
2910,2932,P
2943,2965,QRS
2973,3049,T
3187,3207,P
3220,3241,QRS
3254,3325,T
3464,3484,P
3496,3518,QRS
3522,3601,T
3741,3760,P
3773,3795,QRS
3801,3878,T
4020,4040,P
4052,4074,QRS
4079,4161,T
4298,4317,P
4330,4352,QRS
4364,4443,T
4575,4596,P
4607,4629,QRS
4635,4714,T
4854,4872,P
4886,4909,QRS
4914,4997,T
5134,5154,P
5167,5189,QRS
5194,5273,T
5411,5432,P
5443,5466,QRS
5472,5549,T
5690,5710,P
5723,5745,QRS
5757,5830,T
5965,5986,P
5998,6021,QRS
6032,6105,T
6242,6263,P
6275,6297,QRS
6310,6385,T
6516,6536,P
6548,6570,QRS
6583,6656,T
6788,6808,P
6821,6843,QRS
6850,6928,T
7063,7084,P
7095,7118,QRS
7130,7204,T
7338,7359,P
7367,7393,QRS
7405,7481,T
7613,7634,P
7652,7667,QRS
7680,7752,T
7887,7909,P
7919,7941,QRS
7955,8024,T
8162,8182,P
8194,8218,QRS
8229,8300,T
8435,8455,P
8467,8489,QRS
8503,8574,T
8712,8734,P
8745,8767,QRS
8780,8852,T
8944,8975,P
8981,9043,QRS
9050,9129,T
9217,9247,P
9260,9318,QRS
9322,9407,T
9540,9560,P
9571,9594,QRS
9606,9683,T
9821,9842,P
9853,9875,QRS
9887,9957,T
10039,10069,P
10079,10150,QRS
10154,10234,T
10370,10429,QRS
10435,10515,T
10654,10675,P
10685,10708,QRS
10744,10793,T
10936,10956,P
10968,10990,QRS
11003,11074,T
11151,11166,P
11203,11270,QRS
11272,11355,T
11495,11516,P
11528,11550,QRS
11563,11600,T
11668,11704,QRS
11716,11786,T
11966,12052,QRS
12059,12136,T
12283,12303,P
12315,12337,QRS
12350,12423,T
12564,12582,P
12596,12618,QRS
12630,12701,T
12845,12866,P
12877,12899,QRS
12933,12984,T
13124,13145,P
13157,13179,QRS
13192,13263,T
13406,13427,P
13439,13462,QRS
13474,13546,T
13688,13708,P
13721,13744,QRS
13777,13829,T
13971,13992,P
14005,14027,QRS
14040,14120,T
14193,14226,P
14258,14319,QRS
14326,14397,T
14563,14579,P
14589,14611,QRS
14616,14699,T
14766,14805,QRS
14814,14874,T
15092,15112,P
15123,15144,QRS
15151,15197,T
15202,15248,P
15275,15299,QRS
15313,15396,QRS
15426,15525,T
15526,15564,P
15568,15650,QRS
15660,15737,T
15889,15907,P
15915,15937,QRS
15949,16026,T
16157,16176,P
16190,16212,QRS
16219,16301,T
16435,16455,P
16469,16490,QRS
16523,16580,T
16713,16734,P
16745,16768,QRS
16780,16854,T
16991,17012,P
17023,17045,QRS
17057,17129,T
17264,17283,P
