ROILimits_1,ROILimits_2,Value
174,193,P
208,234,QRS
258,299,T
322,367,QRS
380,425,T
470,490,P
506,533,QRS
559,597,T
620,639,P
655,682,QRS
693,746,T
753,792,QRS
813,845,T
911,930,P
946,974,QRS
991,1038,T
1054,1107,QRS
1119,1167,T
1213,1233,P
1250,1276,QRS
1299,1338,T
1362,1381,P
1399,1426,QRS
1440,1486,T
1496,1533,QRS
1550,1585,T
1654,1672,P
1687,1713,QRS
1726,1779,T
1804,1825,P
1842,1867,QRS
1875,1927,T
1952,1970,P
1989,2011,QRS
2011,2055,T
2088,2125,QRS
2145,2180,T
2248,2267,P
2283,2309,QRS
2333,2372,T
2394,2414,P
2431,2457,QRS
2467,2519,T
2541,2559,P
2576,2602,QRS
2617,2663,T
2687,2707,P
2724,2752,QRS
2762,2813,T
2838,2857,P
2874,2902,QRS
2916,2964,T
2987,3007,P
3024,3050,QRS
3074,3113,T
3124,3164,QRS
3180,3217,T
3280,3300,P
3317,3343,QRS
3367,3406,T
3413,3460,QRS
3474,3522,T
3575,3594,P
3610,3635,QRS
3657,3701,T
3726,3747,P
3764,3789,QRS
3809,3848,P
3863,3889,QRS
3907,3949,T
3990,4028,QRS
4048,4083,T
4148,4168,P
4184,4209,QRS
4233,4271,T
4292,4311,P
4329,4355,QRS
4367,4416,T
4440,4459,P
4475,4502,QRS
4510,4566,T
4589,4609,P
4625,4652,QRS
4665,4712,T
4735,4754,P
4772,4798,QRS
4814,4860,T
4881,4900,P
4918,4943,QRS
4967,5004,T
5027,5046,P
5063,5088,QRS
5109,5147,T
5149,5162,P
5178,5203,QRS
5216,5263,T
5304,5324,P
5340,5366,QRS
5391,5430,T
5454,5473,P
5490,5516,QRS
5526,5580,T
5590,5629,QRS
5649,5684,T
5748,5767,P
5782,5808,QRS
5826,5872,T
5892,5911,P
5928,5955,QRS
5968,6016,T
6037,6056,P
6073,6100,QRS
6109,6161,T
6177,6216,QRS
6230,6275,T
6333,6353,P
6368,6394,QRS
6418,6457,T
6477,6496,P
6514,6540,QRS
6551,6600,T
6621,6638,P
6655,6682,QRS
6693,6745,T
6765,6782,P
6801,6827,QRS
6836,6888,T
6906,6942,QRS
6944,7002,T
7050,7069,P
7086,7110,QRS
7130,7175,P
7175,7208,QRS
7239,7269,T
7346,7365,P
7380,7406,QRS
7419,7468,T
7480,7533,QRS
7545,7589,T
7629,7647,P
7664,7690,QRS
7706,7754,T
7773,7792,P
7811,7837,QRS
7851,7904,T
7911,7950,QRS
7969,8009,T
8071,8088,P
8105,8132,QRS
8144,8196,T
