ROILimits_1,ROILimits_2,Value
213,240,QRS
251,294,T
302,332,P
340,366,QRS
383,421,T
426,449,P
465,491,QRS
504,547,T
551,581,P
593,619,QRS
628,676,T
681,711,P
720,747,QRS
754,805,T
810,839,P
853,878,QRS
889,937,T
943,970,P
986,1012,QRS
1024,1068,T
1074,1101,P
1114,1141,QRS
1152,1195,T
1199,1226,P
1239,1266,QRS
1277,1319,T
1353,1390,QRS
1398,1441,T
1445,1470,P
1484,1511,QRS
1522,1564,T
1567,1594,P
1607,1633,QRS
1646,1687,T
1693,1720,P
1733,1758,QRS
1769,1813,T
1822,1848,P
1860,1889,QRS
1897,1947,T
1959,1986,P
2001,2027,QRS
2038,2085,T
2093,2124,P
2137,2162,QRS
2169,2220,T
2227,2256,P
2269,2296,QRS
2310,2355,T
2359,2385,P
2400,2426,QRS
2438,2481,T
2485,2512,P
2525,2551,QRS
2557,2606,T
2610,2637,P
2651,2676,QRS
2684,2731,T
2734,2763,P
2774,2801,QRS
2813,2870,T
2901,2928,QRS
2933,2998,T
3029,3055,QRS
3066,3113,T
3118,3147,P
3158,3185,QRS
3200,3240,T
3244,3271,P
3284,3310,QRS
3319,3363,T
3368,3391,P
3405,3433,QRS
3438,3487,T
3490,3521,P
3530,3555,QRS
3563,3610,T
3614,3647,P
3653,3679,QRS
3687,3733,T
3737,3766,P
3778,3804,QRS
3815,3857,T
3866,3892,P
3904,3930,QRS
3937,3987,T
3991,4019,P
4034,4059,QRS
4067,4112,T
4119,4145,P
4160,4183,QRS
4197,4240,T
4245,4270,P
4283,4309,QRS
4316,4363,T
4367,4392,P
4404,4431,QRS
4441,4484,T
4490,4514,P
4523,4554,QRS
4567,4607,T
4611,4637,P
4651,4677,QRS
4691,4732,T
4737,4762,P
4776,4801,QRS
4813,4856,T
4860,4889,P
4902,4929,QRS
4936,4997,T
5028,5055,QRS
5063,5109,T
5114,5142,P
5153,5179,QRS
5188,5232,T
5236,5267,P
5275,5300,QRS
5315,5354,T
5358,5384,P
5395,5423,QRS
5432,5474,T
5480,5506,P
5518,5544,QRS
5550,5598,T
5603,5631,P
5643,5668,QRS
5680,5723,T
5727,5758,P
5770,5795,QRS
5802,5865,T
5894,5922,QRS
5927,5977,T
5981,6005,P
6020,6046,QRS
6055,6099,T
6103,6129,P
6142,6168,QRS
6176,6223,T
6227,6257,P
6265,6290,QRS
6296,6345,T
6350,6379,P
6389,6414,QRS
6422,6470,T
6473,6504,P
6516,6541,QRS
6547,6596,T
6603,6629,P
6645,6670,QRS
6683,6724,T
6728,6755,P
6769,6794,QRS
6806,6845,T
6853,6878,P
6890,6916,QRS
6922,6968,T
6974,6998,P
7009,7037,QRS
7043,7091,T
7095,7122,P
7134,7160,QRS
7174,7214,T
7219,7246,P
7259,7284,QRS
7292,7339,T
7345,7372,P
7388,7411,QRS
7422,7467,T
7472,7498,P
7514,7541,QRS
7550,7593,T
7598,7624,P
7637,7665,QRS
7670,7717,T
7720,7748,P
7761,7786,QRS
7793,7841,T
7843,7870,P
7875,7907,QRS
7917,7960,T
7963,7990,P
8003,8028,QRS
8039,8081,T
8085,8114,P
8125,8150,QRS
8165,8206,T
8209,8237,P
8250,8275,QRS
8279,8329,T
8332,8360,P
8371,8398,QRS
8408,8449,T
8453,8478,P
8492,8517,QRS
8529,8568,T
8574,8599,P
8612,8636,QRS
8646,8688,T
8693,8717,P
8729,8757,QRS
8767,8811,T
8815,8841,P
8855,8882,QRS
8888,8934,T
8941,8970,P
8980,9006,QRS
9015,9058,T
9060,9090,P
9102,9129,QRS
9138,9180,T
9184,9209,P
9222,9249,QRS
9256,9300,T
9303,9331,P
9342,9367,QRS
9379,9418,T
9423,9451,P
9456,9488,QRS
9497,9539,T
9544,9571,P
9582,9608,QRS
9613,9664,T
9667,9696,P
9707,9732,QRS
9746,9785,T
9788,9816,P
9830,9856,QRS
9865,9906,T
9912,9939,P
9949,9977,QRS
9981,10027,T
10030,10056,P
10070,10095,QRS
10102,10146,T
10149,10176,P
10187,10213,QRS
10219,10263,T
10267,10295,P
10307,10332,QRS
10342,10383,T
10388,10418,P
10427,10452,QRS
10461,10504,T
10509,10536,P
10550,10575,QRS
10583,10625,T
10632,10664,P
10672,10698,QRS
10705,10748,T
10753,10780,P
10789,10818,QRS
10830,10868,T
10871,10898,P
10910,10935,QRS
10944,10985,T
10989,11014,P
11029,11054,QRS
11065,11105,T
11109,11136,P
11147,11172,QRS
11180,11224,T
11229,11256,P
11268,11295,QRS
11304,11346,T
11350,11378,P
11390,11416,QRS
11427,11467,T
11472,11500,P
11510,11536,QRS
11539,11587,T
11590,11615,P
11629,11654,QRS
11662,11704,T
11708,11734,P
11743,11772,QRS
11776,11822,T
11827,11853,P
11866,11891,QRS
11895,11954,T
11986,12012,QRS
12021,12064,T
12069,12096,P
12109,12134,QRS
12142,12185,T
12189,12214,P
12227,12254,QRS
12262,12305,T
12308,12338,P
12347,12374,QRS
12380,12423,T
12427,12453,P
12465,12491,QRS
12498,12541,T
12544,12571,P
12583,12608,QRS
12615,12658,T
12664,12698,P
12703,12728,QRS
12734,12779,T
12783,12810,P
12822,12847,QRS
12854,12898,T
12900,12931,P
12942,12968,QRS
12976,13019,T
13023,13047,P
13060,13086,QRS
13092,13135,T
13139,13165,P
13178,13204,QRS
13207,13252,T
13256,13282,P
13294,13319,QRS
13327,13370,T
13373,13400,P
13410,13436,QRS
13443,13489,T
13493,13517,P
13530,13555,QRS
13566,13607,T
13611,13639,P
13651,13677,QRS
13684,13727,T
13731,13757,P
13770,13796,QRS
13803,13845,T
13849,13875,P
13885,13914,QRS
13920,13962,T
13966,13993,P
14003,14029,QRS
14037,14078,T
14081,14108,P
14120,14144,QRS
14150,14195,T
14200,14228,P
14238,14262,QRS
14272,14313,T
14318,14346,P
14357,14382,QRS
14388,14434,T
14439,14463,P
14477,14503,QRS
14508,14553,T
14557,14583,P
14595,14621,QRS
14629,14670,T
14674,14703,P
14711,14737,QRS
14742,14786,T
14790,14819,P
14826,14852,QRS
14860,14903,T
14907,14932,P
14944,14969,QRS
14973,15019,T
15023,15049,P
15062,15087,QRS
15096,15139,T
15143,15169,P
15182,15207,QRS
15218,15257,T
15262,15288,P
15300,15327,QRS
15334,15376,T
15380,15407,P
15418,15443,QRS
15449,15495,T
15498,15528,P
15537,15562,QRS
15569,15613,T
15618,15644,P
15657,15682,QRS
15688,15733,T
15737,15761,P
15776,15802,QRS
15807,15851,T
15856,15883,P
15893,15919,QRS
15927,15967,T
15972,15999,P
16009,16035,QRS
16042,16084,T
16088,16112,P
16125,16150,QRS
16156,16200,T
16203,16229,P
16241,16267,QRS
16270,16317,T
16320,16347,P
16360,16385,QRS
16391,16435,T
16439,16465,P
16478,16505,QRS
16509,16554,T
16557,16584,P
16595,16621,QRS
16629,16669,T
16672,16704,P
16710,16736,QRS
16746,16784,T
16788,16815,P
16825,16851,QRS
16862,16899,T
16904,16930,P
16940,16965,QRS
16971,17016,T
17019,17044,P
17057,17081,QRS
17085,17134,T
17136,17166,P
17174,17199,QRS
17202,17249,T
17252,17279,P
17290,17316,QRS
17324,17363,T
17366,17397,P
17402,17430,QRS
17434,17478,T
17483,17509,P
17520,17545,QRS
17555,17593,T
17597,17622,P
17633,17658,QRS
17669,17708,T
17711,17738,P
17748,17773,QRS
17779,17822,T
17827,17853,P
17864,17891,QRS
17896,17941,T
17945,17970,P
17982,18008,QRS
18015,18056,T
18060,18085,P
18098,18124,QRS
18130,18171,T
18174,18203,P
18213,18238,QRS
18246,18285,T
18289,18315,P
18329,18353,QRS
18363,18403,T
18407,18433,P
18445,18470,QRS
18477,18521,T
18524,18551,P
18562,18589,QRS
18595,18640,T
18643,18668,P
18684,18708,QRS
18717,18758,T
18761,18788,P
18801,18828,QRS
18838,18875,T
18879,18906,P
18918,18943,QRS
18947,18991,T
18996,19021,P
19033,19058,QRS
19065,19106,T
19110,19134,P
19147,19172,QRS
19181,19221,T
19224,19250,P
19263,19287,QRS
19293,19336,T
19341,19365,P
19379,19405,QRS
19411,19452,T
19455,19480,P
19491,19519,QRS
19522,19566,T
19569,19595,P
19606,19631,QRS
19643,19679,T
19683,19713,P
19716,19744,QRS
19753,19793,T
19796,19824,P
19833,19858,QRS
