ROILimits_1,ROILimits_2,Value
142,165,P
182,198,QRS
228,279,T
318,343,P
358,375,QRS
415,446,T
493,520,P
535,551,QRS
588,654,T
669,695,P
710,727,QRS
766,808,T
848,872,P
887,904,QRS
944,987,T
1021,1048,P
1063,1080,QRS
1119,1164,T
1200,1224,P
1239,1255,QRS
1290,1326,T
1375,1402,P
1417,1433,QRS
1472,1505,T
1552,1578,P
1594,1610,QRS
1647,1682,T
1733,1757,P
1773,1789,QRS
1830,1859,T
1893,1931,QRS
1944,2003,T
2091,2117,P
2131,2148,QRS
2205,2242,T
2271,2297,P
2312,2328,QRS
2367,2401,T
2451,2477,P
2492,2508,QRS
2547,2580,T
2633,2659,P
2675,2691,QRS
2733,2762,T
2817,2842,P
2858,2873,QRS
2904,2956,T
3000,3024,P
3040,3056,QRS
3090,3137,T
3178,3204,P
3218,3235,QRS
3273,3320,T
3363,3388,P
3403,3420,QRS
3461,3492,T
3544,3569,P
3586,3602,QRS
3644,3683,T
3728,3755,P
3769,3786,QRS
3831,3866,T
3916,3941,P
3958,3974,QRS
4012,4054,T
4106,4132,P
4147,4164,QRS
4206,4245,T
4293,4316,P
4331,4348,QRS
4390,4429,T
4476,4501,P
4517,4533,QRS
4574,4605,T
4659,4685,P
4701,4717,QRS
4753,4797,T
4843,4869,P
4884,4900,QRS
4943,4979,T
5026,5052,P
5067,5083,QRS
5121,5166,T
5212,5239,P
5254,5270,QRS
5312,5353,T
5399,5425,P
5440,5456,QRS
5495,5539,T
5579,5605,P
5620,5637,QRS
5671,5719,T
5773,5800,P
5815,5831,QRS
5873,5904,T
5959,5986,P
6001,6017,QRS
6056,6098,T
6144,6169,P
6184,6200,QRS
6241,6271,T
6326,6352,P
6368,6384,QRS
6422,6465,T
6512,6536,P
6551,6567,QRS
6606,6652,T
6692,6717,P
6733,6749,QRS
6786,6820,T
6875,6900,P
6916,6933,QRS
6968,7005,T
7060,7086,P
7100,7116,QRS
7154,7198,T
7245,7270,P
7286,7302,QRS
7346,7383,T
7435,7460,P
7476,7492,QRS
7533,7573,T
7622,7648,P
7663,7680,QRS
7720,7761,T
7808,7833,P
7848,7864,QRS
7902,7947,T
7996,8022,P
8037,8053,QRS
8091,8136,T
8193,8219,P
8234,8250,QRS
8289,8333,T
8387,8413,P
8429,8445,QRS
8484,8516,T
8582,8606,P
8621,8638,QRS
8675,8720,T
8772,8799,P
8815,8831,QRS
8872,8903,T
8969,8995,P
9011,9027,QRS
9069,9110,T
9167,9193,P
9208,9224,QRS
9261,9305,T
9365,9390,P
9405,9421,QRS
9460,9503,T
9560,9586,P
9600,9616,QRS
9656,9700,T
9757,9783,P
9798,9814,QRS
9855,9886,T
9954,9979,P
9995,10011,QRS
10052,10094,T
10150,10176,P
10191,10207,QRS
10249,10288,T
10347,10372,P
10388,10404,QRS
10439,10485,T
10543,10568,P
10583,10599,QRS
10638,10682,T
10737,10763,P
10778,10794,QRS
10834,10878,T
10932,10959,P
10974,10991,QRS
11031,11063,T
11129,11156,P
11171,11188,QRS
11229,11272,T
11326,11352,P
11367,11384,QRS
11424,11455,T
11521,11546,P
11561,11578,QRS
11621,11663,T
11718,11744,P
11759,11775,QRS
11819,11858,T
11916,11942,P
11957,11973,QRS
12012,12055,T
12113,12139,P
12154,12170,QRS
12209,12255,T
12311,12337,P
12352,12368,QRS
12409,12453,T
12507,12533,P
12549,12565,QRS
12602,12636,T
12705,12729,P
12744,12760,QRS
12798,12846,T
12900,12927,P
12942,12958,QRS
12999,13041,T
13098,13124,P
13140,13156,QRS
13193,13243,T
13296,13322,P
13337,13353,QRS
13391,13438,T
13492,13517,P
13533,13549,QRS
13593,13632,T
13687,13712,P
13728,13744,QRS
13786,13825,T
13883,13907,P
13923,13939,QRS
13978,14024,T
14074,14099,P
14114,14131,QRS
14169,14215,T
14265,14292,P
14307,14323,QRS
14360,14406,T
14457,14483,P
14499,14515,QRS
14555,14595,T
14647,14673,P
14688,14704,QRS
14742,14785,T
14833,14858,P
14873,14889,QRS
14928,14972,T
15013,15040,P
15055,15071,QRS
15107,15151,T
15197,15222,P
15237,15254,QRS
15290,15324,T
15377,15402,P
15416,15433,QRS
15470,15515,T
15558,15584,P
15598,15615,QRS
15658,15696,T
15741,15766,P
15781,15797,QRS
15836,15880,T
15921,15947,P
15963,15980,QRS
16017,16051,T
16104,16130,P
16145,16161,QRS
16201,16231,T
16288,16313,P
16328,16345,QRS
16387,16425,T
16470,16495,P
16511,16528,QRS
16567,16611,T
16655,16681,P
16697,16713,QRS
16752,16795,T
16840,16867,P
16883,16899,QRS
16938,16985,T
17038,17065,P
17080,17096,QRS
17136,17205,T
17234,17258,P
17274,17290,QRS
17327,17372,T
17420,17446,P
17462,17478,QRS
17514,17565,T
17613,17639,P
17655,17671,QRS
17711,17755,T
17804,17830,P
17846,17862,QRS
17898,17943,T
17996,18022,P
18038,18053,QRS
18090,18135,T
18187,18214,P
18230,18246,QRS
18288,18327,T
18383,18408,P
18423,18439,QRS
18481,18521,T
18574,18600,P
18616,18632,QRS
18674,18716,T
18770,18796,P
18812,18828,QRS
18866,18909,T
18966,18993,P
19007,19023,QRS
19067,19104,T
19163,19188,P
19203,19219,QRS
19260,19299,T
19355,19382,P
19397,19413,QRS
19453,19496,T
19551,19578,P
19593,19609,QRS
19647,19692,T
19746,19774,P
19789,19805,QRS
19847,19887,T
19945,19971,P
19986,20003,QRS
20044,20087,T
20143,20168,P
20185,20201,QRS
20240,20286,T
20342,20367,P
20383,20399,QRS
20439,20481,T
20541,20565,P
20581,20598,QRS
20637,20682,T
20738,20764,P
20780,20796,QRS
20839,20877,T
20937,20963,P
20979,20995,QRS
21036,21080,T
21135,21163,P
21179,21195,QRS
21237,21278,T
21338,21363,P
21379,21395,QRS
21435,21479,T
21538,21564,P
21579,21596,QRS
21634,21681,T
21735,21761,P
21776,21793,QRS
21829,21877,T
21936,21962,P
21977,21993,QRS
22035,22076,T
22135,22161,P
22177,22194,QRS
22234,22278,T
22335,22361,P
22378,22394,QRS
22437,22476,T
22537,22563,P
22579,22595,QRS
22636,22680,T
22736,22763,P
22779,22795,QRS
22836,22878,T
22937,22963,P
22978,22995,QRS
23036,23082,T
23135,23161,P
23176,23192,QRS
23232,23278,T
23332,23359,P
23374,23391,QRS
23432,23475,T
23530,23556,P
23572,23589,QRS
23629,23673,T
23729,23755,P
23771,23787,QRS
23828,23875,T
23928,23955,P
23971,23987,QRS
24029,24073,T
24123,24157,P
24171,24187,QRS
24240,24273,T
24333,24356,P
24372,24388,QRS
24444,24469,T
24530,24556,P
24572,24588,QRS
24626,24673,T
24727,24754,P
24769,24786,QRS
24822,24868,T
24928,24954,P
24969,24986,QRS
25025,25071,T
25125,25152,P
25167,25184,QRS
25223,25267,T
25321,25349,P
25365,25381,QRS
25420,25465,T
25520,25545,P
25561,25578,QRS
25622,25660,T
25715,25742,P
25757,25773,QRS
25812,25858,T
25910,25937,P
25952,25968,QRS
26026,26052,T
26106,26131,P
26146,26163,QRS
26201,26245,T
26296,26321,P
26337,26353,QRS
26393,26439,T
26490,26515,P
26531,26547,QRS
26591,26630,T
26682,26707,P
26722,26738,QRS
26778,26820,T
26871,26897,P
26913,26930,QRS
26970,27014,T
27063,27089,P
27105,27121,QRS
27161,27206,T
27257,27283,P
27298,27314,QRS
27355,27400,T
27449,27475,P
27491,27507,QRS
27564,27592,T
27643,27669,P
27684,27700,QRS
27741,27785,T
27833,27859,P
27873,27890,QRS
27924,27973,T
28024,28049,P
28064,28080,QRS
28121,28153,T
28212,28239,P
28254,28270,QRS
28311,28342,T
28401,28427,P
28442,28459,QRS
28498,28542,T
28589,28615,P
28631,28647,QRS
28684,28730,T
28779,28804,P
28819,28835,QRS
28871,28919,T
28969,28993,P
29009,29025,QRS
29063,29111,T
29160,29183,P
29198,29215,QRS
29256,29295,T
29347,29372,P
29387,29403,QRS
29439,29483,T
29536,29562,P
29577,29594,QRS
29635,29677,T
29726,29752,P
29767,29783,QRS
29824,29867,T
29915,29940,P
29956,29972,QRS
30008,30054,T
30105,30131,P
30146,30162,QRS
30204,30244,T
30296,30321,P
30336,30353,QRS
30392,30438,T
30482,30508,P
30523,30540,QRS
30573,30623,T
30671,30697,P
30713,30729,QRS
30767,30802,T
30861,30887,P
30902,30918,QRS
30957,31002,T
31048,31074,P
31089,31105,QRS
31148,31187,T
31236,31262,P
31277,31294,QRS
31331,31376,T
31426,31452,P
31466,31483,QRS
31522,31564,T
31615,31639,P
31654,31671,QRS
31728,31754,T
31801,31826,P
31841,31857,QRS
31899,31941,T
31989,32014,P
32029,32046,QRS
32085,32130,T
32174,32198,P
32212,32229,QRS
32268,32313,T
32354,32381,P
32395,32411,QRS
32451,32483,T
32533,32560,P
32574,32590,QRS
32628,32673,T
32710,32735,P
32750,32766,QRS
32802,32847,T
32885,32911,P
32927,32943,QRS
32982,33027,T
33063,33088,P
33104,33119,QRS
33162,33202,T
33239,33265,P
33281,33297,QRS
33336,33381,T
33417,33442,P
33458,33474,QRS
33510,33556,T
33598,33623,P
33639,33655,QRS
33695,33739,T
33782,33808,P
33824,33840,QRS
33879,33928,T
33976,34002,P
34017,34033,QRS
34068,34116,T
34164,34190,P
34206,34222,QRS
34262,34304,T
34358,34383,P
34399,34415,QRS
34459,34498,T
34548,34574,P
34589,34606,QRS
34662,34689,T
34748,34774,P
34789,34805,QRS
34843,34890,T
34961,34988,P
35003,35019,QRS
35057,35104,T
35165,35191,P
35206,35223,QRS
35265,35305,T
35365,35392,P
35407,35423,QRS
35462,35508,T
35565,35591,P
35607,35623,QRS
35665,35710,T
35764,35789,P
35805,35822,QRS
35859,35905,T
35958,35984,P
35999,36015,QRS
36051,36100,T
36154,36180,P
36196,36212,QRS
36251,36295,T
36350,36375,P
36390,36407,QRS
36445,36490,T
36542,36568,P
36583,36599,QRS
36640,36671,T
36736,36761,P
36777,36793,QRS
36834,36874,T
36929,36955,P
36970,36986,QRS
37025,37068,T
37123,37149,P
37165,37181,QRS
37223,37269,T
37318,37344,P
37359,37376,QRS
37415,37458,T
37509,37535,P
37549,37566,QRS
37600,37649,T
37702,37728,P
37743,37759,QRS
37798,37842,T
37895,37921,P
37936,37952,QRS
37994,38035,T
38087,38113,P
38129,38145,QRS
38181,38227,T
38279,38305,P
38321,38337,QRS
38381,38419,T
38473,38499,P
38515,38531,QRS
38574,38614,T
38668,38693,P
38708,38724,QRS
38766,38807,T
38858,38883,P
38898,38915,QRS
38970,38995,T
39048,39073,P
39088,39105,QRS
39149,39188,T
39238,39264,P
39279,39296,QRS
39334,39378,T
39429,39455,P
39470,39487,QRS
39527,39572,T
39620,39647,P
39663,39679,QRS
39722,39751,T
39815,39840,P
39857,39873,QRS
39912,39958,T
40008,40035,P
40051,40067,QRS
40125,40154,T
40207,40232,P
40249,40265,QRS
40323,40354,T
40404,40430,P
40446,40462,QRS
40500,40547,T
40601,40628,P
40644,40660,QRS
40697,40744,T
40800,40827,P
40844,40860,QRS
40916,40943,T
41002,41027,P
41043,41059,QRS
41116,41144,T
41199,41225,P
41240,41257,QRS
41314,41343,T
41396,41422,P
41438,41455,QRS
41490,41538,T
41593,41620,P
41636,41652,QRS
41696,41735,T
41791,41817,P
41833,41849,QRS
41887,41935,T
41988,42014,P
42031,42047,QRS
42084,42131,T
42188,42214,P
42229,42245,QRS
42286,42330,T
42385,42411,P
42426,42443,QRS
