ROILimits_1,ROILimits_2,Value
201,231,P
238,269,QRS
291,359,T
405,433,P
443,472,QRS
481,563,T
609,636,P
645,675,QRS
718,788,T
815,842,P
851,880,QRS
924,972,T
1016,1045,P
1055,1084,QRS
1096,1169,T
1223,1250,P
1260,1290,QRS
1333,1369,T
1429,1456,P
1466,1495,QRS
1539,1588,T
1635,1662,P
1671,1701,QRS
1725,1790,T
1838,1867,P
1876,1906,QRS
1950,1994,T
2047,2074,P
2084,2113,QRS
2157,2202,T
2254,2281,P
2289,2319,QRS
2363,2404,T
2461,2487,P
2496,2525,QRS
2569,2604,T
2662,2692,P
2701,2730,QRS
2774,2813,T
2866,2894,P
2905,2934,QRS
2978,3025,T
3074,3100,P
3108,3139,QRS
3184,3224,T
3278,3304,P
3313,3342,QRS
3364,3427,T
3476,3505,P
3516,3545,QRS
3589,3632,T
3682,3710,P
3720,3749,QRS
3777,3841,T
3886,3915,P
3924,3953,QRS
3996,4042,T
4079,4118,P
4128,4157,QRS
4201,4245,T
4297,4323,P
4333,4361,QRS
4376,4453,T
4501,4527,P
4536,4566,QRS
4586,4647,T
4705,4733,P
4742,4772,QRS
4780,4863,T
4911,4938,P
4946,4976,QRS
4992,5070,T
5114,5142,P
5152,5181,QRS
5197,5264,T
5319,5348,P
5357,5386,QRS
5431,5471,T
5527,5552,P
5561,5590,QRS
5604,5680,T
5729,5758,P
5767,5796,QRS
5840,5886,T
5936,5962,P
5972,6001,QRS
6045,6094,T
6141,6166,P
6175,6205,QRS
6220,6300,T
6346,6371,P
6381,6409,QRS
6423,6489,T
6545,6573,P
6584,6613,QRS
6623,6705,T
6749,6778,P
6786,6816,QRS
6861,6899,T
6954,6982,P
6991,7021,QRS
7039,7112,T
7157,7187,P
7195,7224,QRS
7269,7311,T
7361,7390,P
7393,7428,QRS
7442,7517,T
7568,7594,P
7603,7632,QRS
7651,7712,T
7770,7798,P
7806,7836,QRS
7863,7918,T
7976,8000,P
8011,8040,QRS
8053,8130,T
8177,8206,P
8215,8245,QRS
8291,8326,T
8384,8411,P
8420,8449,QRS
8456,8538,T
8586,8616,P
8626,8655,QRS
8672,8742,T
8797,8823,P
8832,8862,QRS
8890,8923,T
9002,9031,P
9041,9070,QRS
9115,9161,T
9210,9239,P
9249,9278,QRS
9323,9361,T
9420,9446,P
9456,9485,QRS
9504,9568,T
9630,9655,P
9665,9694,QRS
9718,9789,T
9834,9863,P
9873,9902,QRS
9919,9994,T
10043,10070,P
10080,10110,QRS
10155,10195,T
10251,10277,P
10288,10317,QRS
10361,10393,T
10456,10486,P
10494,10524,QRS
10541,10608,T
10664,10689,P
10696,10730,QRS
10740,10814,T
10868,10899,P
10905,10936,QRS
10945,11027,T
11073,11100,P
11111,11140,QRS
11164,11232,T
11276,11303,P
11310,11342,QRS
11362,11428,T
11476,11504,P
11514,11543,QRS
11591,11632,T
11677,11704,P
11714,11744,QRS
11760,11832,T
11879,11902,P
11914,11943,QRS
11962,12033,T
12076,12104,P
12113,12143,QRS
12187,12226,T
12278,12305,P
12313,12343,QRS
12357,12429,T
12475,12503,P
12513,12542,QRS
12560,12634,T
12672,12704,P
12713,12743,QRS
12788,12828,T
12878,12904,P
12914,12943,QRS
12987,13027,T
13076,13105,P
13114,13142,QRS
13166,13228,T
13278,13301,P
13311,13340,QRS
13359,13422,T
13472,13500,P
13509,13538,QRS
13583,13627,T
13672,13702,P
13708,13737,QRS
13782,13826,T
13871,13899,P
13909,13937,QRS
13951,14026,T
14072,14099,P
14108,14137,QRS
14181,14225,T
14269,14298,P
14308,14339,QRS
14352,14415,T
14470,14501,P
14507,14538,QRS
14582,14618,T
14676,14700,P
14707,14739,QRS
14758,14815,T
14874,14901,P
14911,14939,QRS
14954,15025,T
15078,15104,P
15113,15142,QRS
15168,15225,T
15277,15307,P
15315,15344,QRS
15354,15425,T
15480,15504,P
15517,15546,QRS
15564,15628,T
15683,15711,P
15718,15749,QRS
15770,15836,T
15885,15914,P
15924,15952,QRS
15997,16041,T
16097,16118,P
16128,16157,QRS
16176,16244,T
16294,16321,P
16332,16361,QRS
16378,16452,T
16498,16525,P
16535,16563,QRS
16584,16645,T
16705,16729,P
16738,16768,QRS
16786,16851,T
16906,16933,P
16943,16972,QRS
16989,17063,T
17110,17137,P
17145,17175,QRS
17194,17264,T
17304,17340,P
17349,17378,QRS
17387,17465,T
17516,17545,P
17553,17583,QRS
17601,17644,T
17722,17748,P
17758,17787,QRS
17831,17873,T
17923,17953,P
17963,17992,QRS
18014,18073,T
18129,18158,P
18168,18197,QRS
18240,18286,T
18338,18363,P
18373,18401,QRS
18425,18480,T
18542,18569,P
18578,18608,QRS
18630,18686,T
18749,18776,P
18784,18814,QRS
18858,18896,T
18950,18981,P
18988,19018,QRS
19063,19109,T
19159,19185,P
19195,19224,QRS
19238,19304,T
19362,19391,P
19399,19428,QRS
19472,19510,T
19566,19594,P
19603,19632,QRS
19676,19720,T
19772,19797,P
19807,19836,QRS
19880,19926,T
19973,20002,P
20011,20041,QRS
20061,20134,T
20179,20206,P
20215,20245,QRS
20270,20334,T
20381,20411,P
20420,20450,QRS
20476,20536,T
20592,20616,P
20627,20655,QRS
20700,20746,T
20796,20823,P
20832,20861,QRS
20880,20946,T
21000,21029,P
21038,21067,QRS
21112,21152,T
21208,21234,P
21242,21272,QRS
21316,21359,T
21412,21438,P
21449,21477,QRS
21521,21569,T
21618,21644,P
21654,21683,QRS
21702,21765,T
21822,21850,P
21859,21889,QRS
21933,21981,T
22027,22056,P
22064,22093,QRS
22111,22186,T
22233,22260,P
22270,22299,QRS
22344,22419,T
22441,22467,P
22476,22505,QRS
22550,22590,T
22644,22672,P
22682,22712,QRS
22732,22791,T
22854,22880,P
22889,22918,QRS
22935,23006,T
23061,23087,P
23096,23125,QRS
23170,23215,T
23268,23295,P
23304,23333,QRS
23344,23420,T
23475,23501,P
23512,23540,QRS
23584,23615,T
23683,23710,P
23719,23748,QRS
23791,23825,T
23891,23911,P
23926,23956,QRS
23980,24045,T
24099,24126,P
24136,24165,QRS
24184,24252,T
24306,24333,P
24343,24372,QRS
24416,24459,T
24516,24540,P
24550,24578,QRS
24622,24669,T
24720,24747,P
24757,24786,QRS
24801,24872,T
24927,24954,P
24962,24993,QRS
25037,25075,T
25134,25160,P
25171,25200,QRS
25244,25291,T
25339,25367,P
25378,25407,QRS
25452,25501,T
25550,25575,P
25586,25615,QRS
25633,25693,T
25757,25784,P
25794,25823,QRS
25867,25907,T
25965,25992,P
26002,26031,QRS
26052,26114,T
26174,26200,P
26210,26239,QRS
26283,26327,T
26382,26409,P
26419,26448,QRS
26477,26534,T
26592,26616,P
26628,26657,QRS
26702,26747,T
26798,26827,P
26837,26866,QRS
26885,26953,T
27008,27036,P
27046,27075,QRS
27119,27162,T
27218,27244,P
27253,27282,QRS
27301,27367,T
27423,27450,P
27460,27489,QRS
27514,27577,T
27627,27657,P
27667,27696,QRS
27740,27786,T
27835,27862,P
27872,27901,QRS
27946,27989,T
28039,28068,P
28078,28108,QRS
28152,28199,T
28247,28275,P
28286,28314,QRS
28333,28411,T
28453,28482,P
28492,28521,QRS
28546,28614,T
28659,28688,P
28697,28724,QRS
28771,28814,T
28866,28895,P
28905,28935,QRS
28979,29017,T
29078,29104,P
29114,29143,QRS
29188,29233,T
29285,29314,P
29316,29352,QRS
29371,29445,T
29495,29521,P
29532,29561,QRS
29582,29647,T
29705,29732,P
29742,29771,QRS
29792,29854,T
29916,29942,P
29952,29981,QRS
30004,30071,T
30125,30152,P
30161,30191,QRS
30214,30273,T
30332,30360,P
30370,30399,QRS
30408,30485,T
30541,30569,P
30580,30609,QRS
30630,30698,T
30753,30778,P
30789,30818,QRS
30831,30907,T
30960,30988,P
30999,31028,QRS
31041,31108,T
31172,31199,P
31210,31239,QRS
31253,31328,T
31404,31451,QRS
31496,31533,T
31599,31624,P
31633,31663,QRS
31708,31748,T
31810,31834,P
31844,31873,QRS
31884,31957,T
32021,32047,P
32056,32085,QRS
32099,32165,T
32234,32258,P
32268,32298,QRS
32311,32394,T
32446,32471,P
32481,32510,QRS
32527,32590,T
32655,32682,P
32693,32721,QRS
32766,32816,T
32869,32896,P
32906,32935,QRS
32950,33014,T
33084,33109,P
33119,33148,QRS
33193,33237,T
33292,33321,P
33330,33360,QRS
33377,33446,T
33510,33533,P
33543,33572,QRS
33590,33666,T
33722,33747,P
33756,33785,QRS
33802,33875,T
33932,33960,P
33969,33998,QRS
34023,34083,T
34144,34172,P
34181,34211,QRS
34255,34293,T
34354,34382,P
34392,34422,QRS
34466,34516,T
34566,34595,P
34605,34635,QRS
34653,34724,T
34778,34807,P
34816,34845,QRS
34889,34928,T
34992,35018,P
35029,35058,QRS
35102,35148,T
35204,35230,P
35240,35270,QRS
35312,35355,T
35417,35443,P
35454,35483,QRS
35502,35571,T
35629,35656,P
35667,35696,QRS
35706,35782,T
35841,35868,P
35878,35907,QRS
35915,35984,T
36055,36080,P
36090,36119,QRS
36132,36204,T
36265,36291,P
36302,36331,QRS
36350,36422,T
36475,36501,P
36511,36541,QRS
36560,36625,T
36685,36710,P
36722,36750,QRS
36793,36825,T
36893,36920,P
36930,36959,QRS
36979,37044,T
37102,37131,P
37138,37168,QRS
37211,37255,T
37310,37337,P
37346,37376,QRS
37419,37459,T
37520,37545,P
37555,37584,QRS
37628,37672,T
37722,37753,P
37763,37793,QRS
37837,37887,T
37937,37962,P
37973,38002,QRS
38013,38096,T
38145,38171,P
38182,38211,QRS
38255,38295,T
38353,38380,P
38390,38419,QRS
38432,38509,T
38561,38588,P
38596,38626,QRS
38643,38720,T
38771,38796,P
38804,38835,QRS
38879,38916,T
38978,39003,P
39013,39042,QRS
39087,39128,T
39183,39210,P
39219,39248,QRS
39292,39329,T
39385,39415,P
39424,39453,QRS
39496,39542,T
39592,39619,P
39628,39658,QRS
39673,39750,T
39799,39826,P
39829,39864,QRS
39882,39949,T
40003,40031,P
40041,40070,QRS
40113,40150,T
40212,40237,P
40246,40275,QRS
40320,40361,T
40417,40444,P
40454,40483,QRS
40496,40564,T
40628,40654,P
40664,40693,QRS
40737,40772,T
40835,40862,P
40873,40901,QRS
40912,40990,T
41046,41070,P
41080,41109,QRS
41154,41195,T
41254,41279,P
41289,41318,QRS
41337,41405,T
41462,41486,P
41496,41526,QRS
41569,41606,T
41667,41694,P
41703,41732,QRS
41775,41822,T
41872,41898,P
41908,41937,QRS
41981,42029,T
42076,42101,P
42110,42140,QRS
42184,42223,T
42276,42303,P
42313,42342,QRS
42386,42429,T
42478,42506,P
42515,42544,QRS
42587,42625,T
42682,42707,P
42717,42746,QRS
42790,42824,T
42882,42910,P
42918,42947,QRS
42991,43041,T
43085,43111,P
43121,43150,QRS
43193,43231,T
43288,43313,P
43321,43352,QRS
43395,43440,T
43488,43517,P
43526,43555,QRS
43599,43645,T
43693,43722,P
43732,43760,QRS
43804,43846,T
43902,43927,P
43935,43965,QRS
44009,44053,T
44108,44133,P
44143,44172,QRS
44215,44257,T
44312,44341,P
44349,44378,QRS
44386,44470,T
44519,44547,P
44556,44585,QRS
44631,44664,T
44725,44752,P
44762,44791,QRS
44835,44881,T
44934,44957,P
44966,44996,QRS
45017,45081,T
45135,45163,P
45172,45201,QRS
