ROILimits_1,ROILimits_2,Value
126,143,P
160,185,QRS
207,250,T
272,290,P
307,332,QRS
360,398,T
419,435,P
455,479,QRS
498,558,T
565,581,P
599,624,QRS
651,691,T
714,731,P
747,773,QRS
798,839,T
863,880,P
897,922,QRS
946,999,T
1018,1034,P
1048,1075,QRS
1097,1141,T
1173,1190,P
1205,1230,QRS
1251,1297,T
1332,1348,P
1362,1388,QRS
1412,1468,T
1489,1506,P
1519,1546,QRS
1575,1625,T
1650,1667,P
1681,1708,QRS
1736,1775,T
1812,1829,P
1840,1868,QRS
1889,1949,T
1975,1992,P
2004,2031,QRS
2052,2096,T
2140,2157,P
2171,2197,QRS
2220,2263,T
2306,2323,P
2338,2364,QRS
2386,2444,T
2474,2491,P
2504,2531,QRS
2556,2597,T
2645,2661,P
2675,2701,QRS
2725,2767,T
2820,2836,P
2849,2876,QRS
2899,2941,T
2999,3015,P
3027,3056,QRS
3079,3123,T
3172,3188,P
3203,3230,QRS
3254,3296,T
3354,3369,P
3385,3410,QRS
3434,3476,T
3532,3548,P
3562,3589,QRS
3613,3656,T
3705,3721,P
3736,3762,QRS
3785,3829,T
3881,3897,P
3910,3937,QRS
3958,4021,T
4058,4074,P
4089,4115,QRS
4138,4192,T
4245,4261,P
4275,4301,QRS
4328,4380,T
4425,4442,P
4456,4483,QRS
4506,4564,T
4605,4621,P
4635,4662,QRS
4685,4727,T
4784,4800,P
4815,4841,QRS
4867,4906,T
4964,4979,P
4994,5018,QRS
5038,5098,T
5146,5161,P
5175,5201,QRS
5221,5267,T
5327,5342,P
5355,5382,QRS
5405,5448,T
5520,5535,P
5549,5575,QRS
5597,5641,T
5721,5735,P
5750,5776,QRS
5801,5842,T
5924,5939,P
5953,5979,QRS
5997,6048,T
6121,6135,P
6150,6176,QRS
6201,6243,T
6328,6342,P
6355,6383,QRS
6402,6466,T
6537,6552,P
6565,6592,QRS
6616,6660,T
6735,6750,P
6762,6790,QRS
6814,6856,T
6941,6956,P
6970,6995,QRS
7022,7063,T
7147,7162,P
7175,7201,QRS
7224,7287,T
7342,7359,P
7373,7399,QRS
7422,7466,T
7551,7566,P
7580,7605,QRS
7631,7688,T
7761,7777,P
7791,7817,QRS
7841,7932,T
7970,7987,P
7999,8026,QRS
8047,8094,T
8177,8193,P
8207,8233,QRS
8260,8298,T
8390,8404,P
8418,8444,QRS
8468,8568,T
8603,8618,P
8630,8658,QRS
8681,8726,T
8806,8822,P
8835,8861,QRS
8887,8929,T
9019,9034,P
9048,9073,QRS
9102,9187,T
9230,9245,P
9259,9285,QRS
9313,9352,T
9431,9446,P
9461,9486,QRS
9508,9552,T
9640,9656,P
9668,9695,QRS
9716,9779,T
9855,9870,P
9884,9910,QRS
9936,9992,T
10059,10074,P
10088,10114,QRS
10135,10180,T
10265,10280,P
10293,10319,QRS
10348,10440,T
10478,10493,P
10506,10532,QRS
10554,10612,T
10690,10707,P
10721,10746,QRS
10768,10813,T
10895,10910,P
10919,10950,QRS
10976,11016,T
11108,11122,P
11136,11163,QRS
11185,11298,T
11323,11337,P
11351,11378,QRS
11400,11463,T
11527,11543,P
11557,11582,QRS
11603,11649,T
11728,11743,P
11757,11783,QRS
11812,11903,T
11931,11946,P
11960,11986,QRS
12010,12053,T
12137,12153,P
12167,12193,QRS
12218,12309,T
12336,12352,P
12364,12391,QRS
12419,12459,T
12537,12553,P
12566,12592,QRS
12617,12683,T
12742,12758,P
12772,12798,QRS
12822,12885,T
12949,12965,P
12979,13005,QRS
13031,13129,T
13150,13165,P
13179,13206,QRS
13231,13273,T
13362,13379,P
13393,13418,QRS
13442,13553,T
13581,13595,P
13607,13634,QRS
13659,13761,T
13789,13805,P
13817,13844,QRS
13870,13913,T
13992,14006,P
14021,14048,QRS
14076,14179,T
14204,14219,P
14232,14260,QRS
14285,14327,T
14414,14430,P
14443,14470,QRS
14496,14538,T
14613,14629,P
14643,14669,QRS
14696,14736,T
14818,14833,P
14847,14873,QRS
14894,15004,T
15026,15042,P
15055,15081,QRS
15106,15165,T
15228,15244,P
15256,15282,QRS
15308,15351,T
15433,15448,P
15462,15489,QRS
15517,15623,T
15651,15665,P
15678,15705,QRS
15727,15791,T
15870,15885,P
15899,15924,QRS
15952,15992,T
16078,16093,P
16105,16132,QRS
16155,16251,T
16295,16309,P
16323,16349,QRS
16371,16416,T
16510,16524,P
16537,16564,QRS
16587,16689,T
16717,16734,P
16747,16772,QRS
16797,16841,T
16919,16936,P
16950,16976,QRS
17001,17074,T
17128,17144,P
17158,17184,QRS
17210,17251,T
17341,17355,P
17370,17395,QRS
17417,17526,T
17543,17559,P
17573,17599,QRS
17629,17665,T
17752,17767,P
17779,17806,QRS
17830,17917,T
17950,17966,P
17980,18006,QRS
18030,18092,T
18141,18158,P
18169,18197,QRS
18222,18313,T
18340,18356,P
18370,18395,QRS
18420,18523,T
18538,18554,P
18568,18594,QRS
18613,18669,T
18732,18747,P
18762,18788,QRS
18812,18872,T
18918,18934,P
18947,18973,QRS
18994,19041,T
19102,19118,P
19133,19160,QRS
19185,19226,T
19277,19293,P
19308,19335,QRS
19361,19402,T
19452,19469,P
19481,19510,QRS
19536,19591,T
19632,19649,P
19662,19690,QRS
19718,19758,T
19818,19834,P
19849,19875,QRS
19900,19942,T
20016,20031,P
20047,20072,QRS
20099,20169,T
20228,20243,P
20255,20284,QRS
20307,20353,T
20425,20441,P
20455,20481,QRS
20506,20548,T
20635,20650,P
20665,20691,QRS
20715,20776,T
20853,20868,P
20882,20909,QRS
20937,20977,T
21052,21069,P
21082,21109,QRS
21133,21177,T
21260,21276,P
21290,21315,QRS
21337,21396,T
21473,21489,P
21502,21530,QRS
21553,21663,T
21691,21707,P
21721,21748,QRS
21767,21878,T
21897,21912,P
21927,21954,QRS
21985,22035,T
22115,22131,P
22146,22172,QRS
22202,22297,T
22353,22368,P
22384,22409,QRS
22438,22534,T
22566,22581,P
22597,22623,QRS
22652,22691,T
22778,22794,P
22809,22835,QRS
22866,22963,T
23011,23027,P
23042,23068,QRS
23091,23145,T
23250,23266,P
23279,23306,QRS
23330,23375,T
23464,23480,P
23496,23521,QRS
23546,23590,T
23701,23716,P
23731,23757,QRS
23783,23901,T
23949,23965,P
23979,24005,QRS
24028,24128,T
24176,24192,P
24206,24233,QRS
24259,24303,T
24408,24423,P
24438,24463,QRS
24489,24623,T
24655,24669,P
24684,24711,QRS
24736,24796,T
24892,24908,P
24923,24948,QRS
24974,25018,T
25107,25123,P
25138,25165,QRS
25187,25253,T
25336,25351,P
25364,25393,QRS
25419,25520,T
25580,25595,P
25611,25637,QRS
25662,25755,T
25801,25817,P
25832,25859,QRS
25886,25928,T
26019,26035,P
26050,26075,QRS
26098,26197,T
26233,26249,P
26263,26290,QRS
26312,26360,T
26431,26448,P
26462,26488,QRS
26513,26555,T
26627,26643,P
26657,26685,QRS
26708,26772,T
26830,26846,P
26862,26888,QRS
26914,26958,T
27039,27055,P
27067,27097,QRS
27121,27164,T
27277,27292,P
27308,27334,QRS
27360,27403,T
27511,27528,P
27543,27569,QRS
27591,27638,T
27730,27745,P
27760,27786,QRS
27811,27913,T
27953,27969,P
27981,28009,QRS
28036,28091,T
28174,28190,P
28206,28232,QRS
28254,28317,T
28385,28400,P
28415,28441,QRS
28469,28510,T
28596,28611,P
28625,28652,QRS
28677,28781,T
28812,28827,P
28840,28868,QRS
28896,28938,T
29029,29044,P
29058,29085,QRS
29116,29155,T
29232,29247,P
29263,29289,QRS
29315,29387,T
29455,29470,P
29486,29511,QRS
29535,29598,T
29694,29709,P
29723,29749,QRS
29779,29819,T
29924,29939,P
29954,29980,QRS
30006,30049,T
30140,30156,P
30168,30197,QRS
30220,30289,T
30359,30375,P
30389,30416,QRS
