ROILimits_1,ROILimits_2,Value
118,147,P
153,177,QRS
198,245,T
283,312,P
319,342,QRS
364,408,T
450,478,P
483,507,QRS
529,574,T
609,640,P
647,672,QRS
694,738,T
780,805,P
812,836,QRS
856,903,T
940,970,P
978,1000,QRS
1021,1066,T
1105,1135,P
1142,1165,QRS
1190,1232,T
1270,1298,P
1307,1330,QRS
1354,1397,T
1435,1461,P
1468,1491,QRS
1514,1558,T
1594,1618,P
1630,1653,QRS
1675,1721,T
1759,1782,P
1792,1814,QRS
1837,1881,T
1918,1942,P
1953,1977,QRS
1999,2043,T
2078,2106,P
2112,2136,QRS
2157,2203,T
2235,2263,P
2271,2293,QRS
2316,2360,T
2396,2417,P
2427,2451,QRS
2473,2517,T
2551,2578,P
2585,2610,QRS
2631,2678,T
2743,2767,QRS
2788,2831,T
2870,2893,P
2902,2924,QRS
2948,2991,T
3028,3054,P
3060,3082,QRS
3106,3152,T
3188,3211,P
3220,3242,QRS
3266,3309,T
3346,3370,P
3380,3403,QRS
3425,3470,T
3506,3535,P
3539,3563,QRS
3586,3630,T
3667,3688,P
3698,3720,QRS
3742,3791,T
3826,3848,P
3858,3881,QRS
3904,3951,T
3984,4011,P
4018,4041,QRS
4064,4114,T
4145,4171,P
4180,4204,QRS
4227,4270,T
4309,4333,P
4343,4366,QRS
4388,4432,T
4471,4495,P
4504,4526,QRS
4550,4594,T
4625,4654,P
4664,4686,QRS
4708,4756,T
4786,4816,P
4824,4847,QRS
4870,4917,T
4951,4978,P
4986,5010,QRS
5032,5077,T
5116,5142,P
5149,5172,QRS
5197,5239,T
5276,5305,P
5312,5334,QRS
5357,5402,T
5437,5466,P
5473,5498,QRS
5519,5563,T
5598,5628,P
5634,5656,QRS
5680,5724,T
5764,5785,P
5794,5816,QRS
5841,5888,T
5922,5948,P
5955,5978,QRS
6001,6044,T
6045,6078,P
6117,6140,QRS
6164,6208,T
6245,6269,P
6277,6301,QRS
6324,6367,T
6397,6431,P
6436,6459,QRS
6481,6528,T
6556,6589,P
6595,6618,QRS
6643,6686,T
6719,6747,P
6754,6775,QRS
6800,6846,T
6882,6906,P
6914,6937,QRS
6961,7003,T
7040,7066,P
7076,7099,QRS
7122,7164,T
7204,7226,P
7236,7259,QRS
7283,7326,T
7364,7388,P
7395,7419,QRS
7441,7484,T
7514,7546,P
7553,7577,QRS
7599,7645,T
7676,7706,P
7712,7735,QRS
7758,7802,T
7838,7864,P
7871,7894,QRS
7917,7961,T
7999,8024,P
8032,8055,QRS
8078,8122,T
8156,8183,P
8190,8213,QRS
8237,8279,T
8311,8341,P
8347,8371,QRS
8393,8437,T
8467,8495,P
8503,8527,QRS
8548,8595,T
8631,8652,P
8660,8682,QRS
8704,8751,T
8778,8807,P
8816,8840,QRS
8862,8907,T
8938,8965,P
8972,8996,QRS
9019,9061,T
9099,9120,P
9129,9153,QRS
9175,9217,T
9251,9279,P
9285,9310,QRS
9331,9374,T
9409,9435,P
9439,9463,QRS
9485,9530,T
9561,9589,P
9596,9620,QRS
9643,9687,T
9719,9743,P
9751,9775,QRS
9797,9843,T
9878,9900,P
9908,9931,QRS
9954,9995,T
10032,10059,P
10065,10090,QRS
10111,10154,T
10189,10215,P
10221,10244,QRS
10265,10309,T
10338,10366,P
10375,10398,QRS
10420,10465,T
10498,10522,P
10529,10552,QRS
10575,10620,T
10626,10646,P
10685,10708,QRS
10730,10774,T
10808,10834,P
10839,10862,QRS
10885,10929,T
10961,10985,P
10995,11019,QRS
11041,11082,T
11116,11142,P
11151,11174,QRS
11197,11240,T
11270,11299,P
11306,11329,QRS
11352,11394,T
11400,11419,P
11459,11483,QRS
11505,11548,T
11552,11574,P
11612,11635,QRS
11658,11703,T
11765,11790,QRS
11811,11857,T
11887,11911,P
11919,11941,QRS
11964,12007,T
12038,12065,P
12071,12094,QRS
12116,12159,T
12224,12246,QRS
12270,12311,T
12340,12365,P
12374,12398,QRS
12419,12465,T
12524,12547,QRS
12568,12614,T
12675,12698,QRS
12720,12762,T
12795,12816,P
