ROILimits_1,ROILimits_2,Value
174,189,P
202,228,QRS
250,304,T
426,441,P
454,481,QRS
493,558,T
663,677,P
691,718,QRS
738,792,T
904,919,P
932,958,QRS
979,1033,T
1146,1163,P
1175,1201,QRS
1226,1277,T
1366,1385,P
1398,1425,QRS
1448,1503,T
1587,1607,P
1620,1646,QRS
1670,1722,T
1814,1836,P
1847,1874,QRS
1892,1950,T
2025,2046,P
2059,2086,QRS
2103,2162,T
2233,2257,P
2266,2292,QRS
2315,2368,T
2460,2481,P
2493,2519,QRS
2540,2595,T
2706,2730,P
2740,2767,QRS
2783,2845,T
2930,2954,P
2965,2992,QRS
3012,3068,T
3153,3176,P
3187,3214,QRS
3234,3289,T
3385,3407,P
3420,3446,QRS
3467,3523,T
3608,3630,P
3646,3669,QRS
3690,3742,T
3821,3843,P
3855,3882,QRS
3903,3955,T
4049,4071,P
4082,4108,QRS
4127,4181,T
4268,4285,P
4299,4325,QRS
4340,4399,T
4475,4495,P
4507,4534,QRS
4548,4608,T
4681,4701,P
4713,4739,QRS
4758,4812,T
4911,4927,P
4941,4967,QRS
4987,5041,T
5142,5159,P
5178,5201,QRS
5217,5277,T
5363,5384,P
5397,5423,QRS
5446,5498,T
5590,5612,P
5624,5651,QRS
5670,5728,T
5837,5872,P
5872,5898,QRS
5918,5975,T
6071,6093,P
6105,6133,QRS
6153,6210,T
6297,6320,P
6331,6357,QRS
6377,6434,T
6529,6553,P
6563,6589,QRS
6604,6664,T
6753,6778,P
6788,6816,QRS
6834,6891,T
6977,7000,P
7011,7038,QRS
7056,7112,T
7204,7227,P
7238,7264,QRS
7284,7341,T
7431,7453,P
7465,7492,QRS
7508,7566,T
7646,7672,P
7679,7706,QRS
7726,7782,T
7864,7885,P
7897,7924,QRS
7940,7999,T
8100,8121,P
8138,8161,QRS
8173,8235,T
8331,8354,P
8366,8393,QRS
8411,8467,T
8571,8594,P
8605,8631,QRS
8652,8707,T
8819,8843,P
8857,8879,QRS
8893,8957,T
9051,9072,P
9085,9112,QRS
9130,9190,T
9283,9304,P
9314,9340,QRS
9361,9420,T
9551,9579,QRS
9596,9653,T
9732,9752,P
9764,9791,QRS
9810,9866,T
9938,9958,P
9970,9996,QRS
10017,10072,T
10155,10174,P
10187,10213,QRS
10232,10290,T
10381,10398,P
10417,10439,QRS
10463,10512,T
10596,10620,P
10626,10652,QRS
10672,10727,T
10819,10836,P
10850,10877,QRS
10896,10954,T
11059,11075,P
11090,11117,QRS
11129,11194,T
11286,11307,P
11317,11344,QRS
11366,11421,T
11502,11527,P
11534,11560,QRS
11583,11634,T
11716,11741,P
11748,11775,QRS
11795,11849,T
11940,11958,P
11976,11999,QRS
12014,12074,T
12147,12166,P
12179,12205,QRS
12224,12281,T
12362,12384,P
12395,12421,QRS
12445,12495,T
12630,12657,QRS
12673,12732,T
12817,12833,P
12848,12875,QRS
12896,12950,T
13022,13042,P
13054,13081,QRS
13100,13154,T
13227,13246,P
13257,13284,QRS
13302,13357,T
13441,13455,P
13475,13497,QRS
13511,13571,T
13653,13668,P
13682,13708,QRS
13729,13782,T
13874,13889,P
13903,13929,QRS
13947,14003,T
14134,14162,QRS
14180,14235,T
14318,14332,P
14346,14372,QRS
14389,14445,T
14526,14540,P
14553,14580,QRS
14600,14653,T
14758,14785,QRS
14805,14858,T
14925,14941,P
14954,14981,QRS
14999,15053,T
15106,15121,P
15137,15163,QRS
15184,15234,T
15287,15305,P
15318,15345,QRS
15367,15416,T
15473,15495,P
15504,15530,QRS
15544,15602,T
15664,15681,P
15693,15719,QRS
15738,15792,T
15853,15871,P
15883,15910,QRS
15932,15984,T
16067,16084,P
16097,16123,QRS
16138,16198,T
16294,16308,P
16322,16348,QRS
16367,16424,T
16532,16548,P
16561,16587,QRS
16606,16663,T
16776,16790,P
16804,16831,QRS
16843,16906,T
17009,17025,P
17038,17064,QRS
17084,17140,T
17241,17257,P
17269,17295,QRS
17315,17372,T
17466,17481,P
17499,17522,QRS
17539,17596,T
17683,17697,P
