ROILimits_1,ROILimits_2,Value
126,158,P
174,193,QRS
226,271,T
342,374,P
390,408,QRS
436,480,T
551,583,P
598,617,QRS
646,691,T
764,796,P
810,828,QRS
858,904,T
974,1005,P
1020,1038,QRS
1068,1115,T
1186,1220,P
1236,1256,QRS
1289,1339,T
1420,1452,P
1467,1487,QRS
1520,1566,T
1642,1673,P
1687,1705,QRS
1735,1782,T
1850,1881,P
1896,1915,QRS
1946,1993,T
2057,2089,P
2104,2123,QRS
2154,2200,T
2268,2299,P
2314,2333,QRS
2367,2412,T
2476,2507,P
2522,2542,QRS
2573,2620,T
2688,2719,P
2736,2756,QRS
2790,2836,T
2912,2946,P
2964,2984,QRS
3018,3066,T
3140,3173,P
3191,3207,QRS
3242,3288,T
3367,3398,P
3420,3438,QRS
3467,3511,T
3586,3617,P
3639,3658,QRS
3687,3732,T
3812,3843,P
3865,3885,QRS
3917,3964,T
4035,4065,P
4082,4101,QRS
4134,4181,T
4259,4291,P
4307,4327,QRS
4359,4407,T
4488,4522,P
4540,4561,QRS
4594,4642,T
4715,4746,P
4763,4782,QRS
4814,4860,T
4930,4960,P
4975,4994,QRS
5025,5069,T
5139,5171,P
5186,5204,QRS
5234,5276,T
5345,5378,P
5393,5412,QRS
5443,5488,T
5565,5599,P
5613,5629,QRS
5663,5710,T
5787,5819,P
5836,5855,QRS
5885,5933,T
6008,6041,P
6058,6078,QRS
6112,6159,T
6235,6267,P
6282,6301,QRS
6331,6376,T
6448,6478,P
6491,6509,QRS
6538,6584,T
6655,6686,P
6700,6720,QRS
6750,6797,T
6862,6894,P
6909,6928,QRS
6959,7006,T
7078,7112,P
7128,7148,QRS
7182,7231,T
7301,7333,P
7349,7369,QRS
7403,7449,T
7519,7550,P
7566,7586,QRS
7616,7664,T
7735,7768,P
7783,7804,QRS
7836,7882,T
7946,7976,P
7991,8009,QRS
8040,8085,T
8142,8173,P
8186,8206,QRS
8234,8278,T
8343,8376,P
8391,8409,QRS
8439,8483,T
8550,8582,P
8598,8616,QRS
8647,8695,T
8761,8793,P
8809,8828,QRS
8859,8906,T
8972,9004,P
9018,9037,QRS
9068,9113,T
9178,9212,P
9226,9245,QRS
9277,9323,T
9388,9419,P
9434,9453,QRS
9481,9525,T
9588,9619,P
9633,9648,QRS
9679,9722,T
9785,9816,P
9830,9849,QRS
9877,9922,T
9989,10019,P
10032,10051,QRS
10082,10130,T
10199,10230,P
10246,10265,QRS
10299,10349,T
10417,10449,P
10463,10482,QRS
10514,10562,T
10627,10659,P
10673,10691,QRS
10723,10768,T
10834,10867,P
10881,10900,QRS
10931,10978,T
11042,11072,P
11084,11104,QRS
11133,11179,T
11246,11275,P
11288,11306,QRS
11337,11384,T
11453,11485,P
11500,11520,QRS
11552,11599,T
11666,11698,P
11716,11736,QRS
11769,11816,T
11896,11930,P
11947,11967,QRS
12001,12047,T
12119,12152,P
12168,12187,QRS
12219,12263,T
12331,12362,P
12377,12396,QRS
12427,12471,T
12543,12575,P
12591,12610,QRS
12640,12685,T
12753,12784,P
12800,12818,QRS
12848,12890,T
12957,12989,P
13004,13022,QRS
13052,13099,T
13171,13204,P
13218,13237,QRS
13268,13315,T
13392,13423,P
13439,13458,QRS
13491,13539,T
13616,13648,P
13662,13681,QRS
13712,13759,T
13827,13857,P
13873,13891,QRS
13920,13964,T
14031,14063,P
14078,14097,QRS
14129,14176,T
14247,14278,P
14290,14310,QRS
14340,14387,T
14456,14486,P
14500,14518,QRS
14551,14596,T
14663,14697,P
14712,14732,QRS
14766,14813,T
14883,14916,P
14932,14952,QRS
14985,15032,T
15106,15138,P
15154,15174,QRS
15206,15249,T
15316,15348,P
15362,15382,QRS
15411,15454,T
15517,15548,P
15560,15580,QRS
15611,15656,T
15726,15758,P
15773,15792,QRS
15821,15865,T
15933,15965,P
15980,16000,QRS
16029,16074,T
16142,16174,P
16189,16208,QRS
16239,16286,T
16359,16391,P
16406,16425,QRS
16454,16500,T
16577,16610,P
16625,16644,QRS
16676,16725,T
16798,16830,P
16843,16861,QRS
16892,16937,T
17002,17033,P
17047,17064,QRS
17092,17137,T
17207,17237,P
17254,17273,QRS
17304,17351,T
17423,17452,P
17466,17485,QRS
17515,17562,T
17630,17660,P
17674,17693,QRS
17723,17772,T
17840,17873,P
17888,17908,QRS
17942,17987,T
18055,18087,P
18103,18122,QRS
18155,18201,T
18268,18300,P
18316,18335,QRS
18366,18412,T
18476,18506,P
18519,18540,QRS
18571,18615,T
18679,18709,P
18722,18740,QRS
18771,18816,T
18880,18913,P
18929,18949,QRS
18982,19026,T
19092,19123,P
19139,19159,QRS
19192,19238,T
19302,19333,P
19347,19367,QRS
19399,19444,T
19514,19548,P
19564,19583,QRS
19614,19659,T
19728,19759,P
19774,19795,QRS
19825,19869,T
19934,19965,P
19979,19997,QRS
20025,20070,T
20128,20160,P
20174,20192,QRS
20221,20264,T
20323,20354,P
20368,20387,QRS
20418,20463,T
20531,20565,P
20580,20599,QRS
20631,20675,T
20742,20776,P
20792,20811,QRS
20843,20888,T
20955,20988,P
21003,21023,QRS
21054,21100,T
21174,21207,P
21222,21240,QRS
21270,21313,T
21388,21418,P
21435,21453,QRS
21483,21529,T
21601,21631,P
21644,21662,QRS
21691,21737,T
21806,21835,P
21850,21865,QRS
21897,21943,T
22018,22050,P
22067,22087,QRS
22119,22169,T
22245,22277,P
22293,22312,QRS
22345,22394,T
22469,22500,P
22515,22534,QRS
22567,22616,T
22689,22721,P
22738,22758,QRS
22789,22834,T
22904,22935,P
22952,22971,QRS
23002,23046,T
23119,23150,P
23167,23186,QRS
23217,23260,T
23331,23362,P
23378,23396,QRS
23425,23468,T
23539,23571,P
23587,23607,QRS
23639,23686,T
23764,23799,P
23815,23835,QRS
23868,23914,T
23990,24023,P
24038,24057,QRS
24089,24132,T
24206,24238,P
24253,24272,QRS
24301,24347,T
24417,24448,P
24461,24480,QRS
24509,24555,T
24626,24656,P
24671,24690,QRS
24722,24768,T
24838,24868,P
24883,24902,QRS
24933,24979,T
25050,25082,P
25097,25116,QRS
25148,25195,T
25270,25305,P
25321,25341,QRS
25375,25425,T
25499,25531,P
25548,25568,QRS
25602,25648,T
25718,25748,P
25764,25783,QRS
25815,25858,T
25927,25959,P
25975,25994,QRS
26023,26066,T
26136,26167,P
26183,26203,QRS
26232,26278,T
26349,26382,P
26398,26416,QRS
26443,26488,T
26561,26593,P
26610,26629,QRS
26658,26705,T
26778,26810,P
26826,26848,QRS
26882,26931,T
27006,27039,P
27056,27074,QRS
27103,27151,T
27223,27255,P
27271,27289,QRS
27319,27362,T
27430,27460,P
27474,27493,QRS
27522,27568,T
27636,27665,P
27680,27698,QRS
27730,27777,T
27842,27875,P
27889,27910,QRS
27940,27989,T
28054,28085,P
28102,28121,QRS
28151,28199,T
28268,28301,P
28315,28334,QRS
28366,28414,T
28484,28518,P
28535,28555,QRS
28589,28637,T
28703,28734,P
28749,28768,QRS
28800,28844,T
28909,28938,P
28953,28971,QRS
29002,29046,T
29108,29140,P
29154,29173,QRS
29202,29246,T
29308,29339,P
29355,29374,QRS
29404,29450,T
29517,29551,P
29567,29587,QRS
29619,29664,T
29734,29767,P
29782,29802,QRS
29833,29879,T
29944,29975,P
29992,30011,QRS
30043,30091,T
30162,30197,P
30213,30233,QRS
30263,30309,T
30378,30410,P
30426,30444,QRS
30473,30515,T
30580,30611,P
30625,30643,QRS
30672,30715,T
30782,30812,P
30826,30845,QRS
30875,30920,T
30988,31019,P
31035,31054,QRS
31086,31133,T
31203,31236,P
31250,31269,QRS
31302,31349,T
31416,31450,P
31464,31483,QRS
31513,31560,T
31628,31661,P
31677,31696,QRS
31727,31774,T
31842,31872,P
31885,31904,QRS
31933,31980,T
32043,32072,P
32085,32103,QRS
32130,32176,T
32237,32267,P
32280,32300,QRS
32331,32375,T
32435,32465,P
32479,32499,QRS
32530,32579,T
32643,32676,P
32690,32712,QRS
32745,32791,T
32854,32885,P
32900,32920,QRS
32950,32997,T
33058,33089,P
33103,33122,QRS
33152,33200,T
33262,33294,P
33309,33328,QRS
33359,33405,T
33463,33493,P
33504,33524,QRS
33555,33599,T
33657,33686,P
33699,33718,QRS
33749,33792,T
33852,33883,P
33897,33916,QRS
33947,33991,T
34050,34081,P
34097,34116,QRS
34147,34195,T
34262,34295,P
34311,34331,QRS
34362,34411,T
34476,34508,P
34523,34542,QRS
34574,34619,T
34684,34716,P
34729,34748,QRS
34779,34825,T
34891,34922,P
34938,34957,QRS
34988,35033,T
35097,35128,P
35140,35160,QRS
35190,35235,T
35297,35328,P
35342,35361,QRS
35390,35434,T
35503,35535,P
35552,35572,QRS
35601,35645,T
35718,35752,P
35767,35786,QRS
35818,35865,T
35941,35975,P
35990,36010,QRS
36039,36086,T
36158,36189,P
36204,36223,QRS
36253,36296,T
36366,36398,P
36412,36428,QRS
36462,36507,T
36577,36609,P
36622,36640,QRS
36669,36713,T
36783,36814,P
36827,36845,QRS
36873,36917,T
36986,37015,P
37029,37047,QRS
37079,37126,T
37195,37225,P
37240,37260,QRS
37290,37342,T
37409,37441,P
37457,37477,QRS
37507,37557,T
37623,37655,P
37668,37687,QRS
37718,37765,T
37828,37859,P
37873,37891,QRS
37920,37965,T
38028,38060,P
38074,38093,QRS
38124,38168,T
38231,38260,P
38273,38290,QRS
38320,38367,T
38428,38457,P
38468,38488,QRS
38519,38565,T
38629,38660,P
38674,38694,QRS
38727,38774,T
38835,38868,P
38882,38903,QRS
38935,38982,T
39043,39075,P
39090,39110,QRS
39142,39188,T
39246,39276,P
39289,39308,QRS
39337,39383,T
39438,39467,P
39479,39498,QRS
39525,39571,T
39630,39661,P
39676,39695,QRS
39727,39772,T
39834,39864,P
39879,39897,QRS
39927,39973,T
40040,40070,P
40085,40101,QRS
40136,40183,T
40256,40288,P
40305,40324,QRS
40358,40405,T
40478,40511,P
40528,40548,QRS
40581,40627,T
40706,40738,P
40755,40775,QRS
40806,40849,T
40931,40961,P
40980,40998,QRS
41026,41070,T
41151,41182,P
41201,41220,QRS
41251,41297,T
41373,41405,P
41421,41440,QRS
41469,41515,T
41595,41625,P
41641,41660,QRS
41689,41736,T
41814,41846,P
41861,41878,QRS
41914,41963,T
42041,42073,P
42089,42109,QRS
42144,42191,T
42265,42296,P
42311,42327,QRS
42361,42406,T
42476,42507,P
42521,42537,QRS
42571,42613,T
42681,42711,P
42725,42744,QRS
42775,42819,T
42892,42926,P
42939,42955,QRS
42989,43035,T
43108,43141,P
43156,43176,QRS
43207,43253,T
43324,43357,P
43374,43390,QRS
43426,43471,T
43549,43581,P
43596,43611,QRS
43645,43691,T
43767,43798,P
43814,43829,QRS
43863,43910,T
43984,44013,P
44027,44043,QRS
44074,44118,T
44189,44219,P
44233,44248,QRS
44281,44326,T
44402,44434,P
44451,44470,QRS
44502,44553,T
44631,44663,P
44682,44698,QRS
44735,44782,T
44860,44892,P
44909,44925,QRS
44962,45008,T
45088,45121,P
45138,45158,QRS
45191,45235,T
45308,45341,P
45356,45372,QRS
45406,45451,T
45525,45558,P
45573,45588,QRS
45619,45663,T
45736,45767,P
45782,45800,QRS
45827,45871,T
45943,45975,P
45990,46009,QRS
46042,46090,T
46170,46203,P
46221,46240,QRS
46272,46320,T
46398,46431,P
46446,46465,QRS
46492,46539,T
46616,46646,P
46664,46683,QRS
46717,46764,T
46835,46865,P
46882,46897,QRS
46931,46979,T
47048,47079,P
47095,47114,QRS
47145,47191,T
47261,47292,P
