ROILimits_1,ROILimits_2,Value
229,249,P
260,286,QRS
328,371,T
437,463,P
482,501,QRS
540,586,T
673,693,P
711,729,QRS
771,812,T
906,929,P
946,964,QRS
1005,1049,T
1136,1163,P
1179,1199,QRS
1239,1281,T
1375,1400,P
1417,1436,QRS
1484,1522,T
1614,1642,P
1659,1677,QRS
1718,1793,T
1853,1876,P
1891,1910,QRS
1949,1995,T
2084,2104,P
2115,2141,QRS
2180,2224,T
2310,2333,P
2350,2368,QRS
2409,2454,T
2524,2546,P
2562,2579,QRS
2620,2663,T
2732,2758,P
2773,2793,QRS
2832,2883,T
2949,2974,P
2981,3008,QRS
3052,3094,T
3189,3212,P
3229,3248,QRS
3288,3331,T
3440,3465,P
3480,3498,QRS
3536,3586,T
3680,3711,P
3719,3741,QRS
3781,3888,T
3927,3950,P
3968,3986,QRS
4022,4077,T
4162,4178,P
4200,4219,QRS
4261,4304,T
4380,4401,P
4417,4436,QRS
4481,4519,T
4587,4608,P
4625,4643,QRS
4685,4730,T
4780,4818,P
4826,4853,QRS
4893,4934,T
5004,5026,P
5043,5078,QRS
5101,5142,T
5228,5251,P
5268,5286,QRS
5324,5371,T
5466,5490,P
5506,5524,QRS
5565,5610,T
5688,5717,P
5734,5753,QRS
5794,5839,T
5921,5945,P
5960,5980,QRS
6016,6061,T
6152,6172,P
6191,6210,QRS
6252,6289,T
6388,6411,P
6428,6446,QRS
6488,6532,T
6617,6640,P
6657,6675,QRS
6714,6763,T
6840,6863,P
6882,6899,QRS
6939,6989,T
7068,7091,P
7108,7126,QRS
7167,7214,T
7294,7316,P
7333,7351,QRS
7389,7436,T
7514,7536,P
7553,7600,QRS
7613,7658,T
7738,7761,P
7775,7794,QRS
7836,7879,T
7952,7975,P
7991,8009,QRS
8050,8098,T
8158,8186,P
8203,8222,QRS
8262,8305,T
8379,8402,P
8418,8437,QRS
8477,8523,T
8617,8642,P
8658,8694,QRS
8720,8763,T
8850,8874,P
8890,8907,QRS
8950,8997,T
9073,9101,P
9118,9138,QRS
9178,9219,T
9317,9338,P
9356,9376,QRS
9415,9459,T
9571,9588,P
9610,9629,QRS
9671,9717,T
9821,9844,P
9861,9879,QRS
9918,9963,T
10050,10072,P
10089,10106,QRS
10148,10197,T
10265,10290,P
10307,10326,QRS
10368,10415,T
10495,10521,P
10534,10554,QRS
10598,10638,T
10725,10750,P
10765,10784,QRS
10822,10871,T
10950,10973,P
10989,11008,QRS
11049,11091,T
11174,11194,P
11213,11232,QRS
11273,11320,T
11403,11427,P
11443,11462,QRS
11503,11545,T
11636,11660,P
11678,11696,QRS
11737,11783,T
11872,11893,P
11911,11930,QRS
11968,12015,T
12111,12133,P
12151,12170,QRS
12212,12255,T
12336,12357,P
12374,12391,QRS
12431,12478,T
12543,12564,P
12580,12602,QRS
12643,12687,T
12754,12777,P
12792,12812,QRS
12855,12896,T
12973,12998,P
13013,13032,QRS
13071,13120,T
13209,13233,P
13249,13268,QRS
13309,13350,T
13434,13463,P
13480,13497,QRS
13540,13587,T
13664,13685,P
13703,13721,QRS
13762,13807,T
13883,13914,P
13929,13949,QRS
13989,14037,T
14122,14146,P
14160,14179,QRS
14221,14266,T
14361,14387,P
14400,14419,QRS
14461,14510,T
14582,14612,P
14630,14648,QRS
14690,14734,T
14812,14835,P
14852,14871,QRS
14911,14952,T
15024,15051,P
15069,15088,QRS
15126,15176,T
15244,15269,P
15287,15307,QRS
15349,15391,T
15461,15488,P
15506,15524,QRS
15565,15607,T
15682,15705,P
15720,15740,QRS
15778,15820,T
15894,15913,P
15932,15951,QRS
15991,16034,T
16114,16135,P
16154,16172,QRS
16214,16259,T
16339,16360,P
16377,16395,QRS
16437,16485,T
16552,16578,P
16593,16611,QRS
16652,16696,T
16754,16789,P
16793,16818,QRS
16859,16903,T
16972,16997,P
17013,17033,QRS
17077,17116,T
17187,17212,P
17226,17244,QRS
17284,17332,T
17396,17415,P
17433,17451,QRS
17489,17536,T
17593,17617,P
17632,17652,QRS
17694,17734,T
17784,17813,P
17831,17851,QRS
17892,17933,T
17992,18017,P
18035,18053,QRS
18092,18139,T
18196,18215,P
18225,18251,QRS
18287,18338,T
18392,18413,P
18430,18449,QRS
18491,18530,T
18578,18612,P
18629,18649,QRS
18689,18730,T
18789,18820,P
18835,18854,QRS
18889,18938,T
18998,19019,P
19036,19054,QRS
19094,19138,T
19179,19215,P
19230,19248,QRS
19286,19331,T
19382,19403,P
19421,19440,QRS
19484,19521,T
19570,19596,P
19613,19632,QRS
19672,19714,T
19758,19788,P
