ROILimits_1,ROILimits_2,Value
268,300,QRS
319,417,T
478,507,QRS
523,626,T
687,715,QRS
734,834,T
890,924,QRS
939,1044,T
1105,1134,QRS
1152,1254,T
1311,1345,QRS
1359,1465,T
1526,1554,QRS
1572,1674,T
1735,1763,QRS
1781,1884,T
1946,1974,QRS
1990,2095,T
2155,2184,QRS
2199,2304,T
2365,2392,QRS
2410,2514,T
2516,2535,P
2575,2603,QRS
2611,2724,T
2784,2812,QRS
2828,2933,T
2989,3021,QRS
3039,3141,T
3198,3231,QRS
3247,3349,T
3410,3439,QRS
3454,3557,T
3560,3579,P
3613,3646,QRS
3661,3767,T
3829,3857,QRS
3865,3977,T
3980,3999,P
4033,4065,QRS
4079,4184,T
4247,4275,QRS
4291,4392,T
4449,4482,QRS
4497,4599,T
4661,4689,QRS
4707,4807,T
4863,4896,QRS
4913,5013,T
5075,5103,QRS
5125,5220,T
5281,5309,QRS
5326,5426,T
5483,5516,QRS
5531,5634,T
5637,5657,P
5695,5722,QRS
5732,5840,T
5896,5929,QRS
5947,6047,T
6108,6137,QRS
6152,6255,T
6316,6344,QRS
6358,6462,T
6520,6553,QRS
6572,6672,T
6734,6762,QRS
6779,6881,T
6943,6971,QRS
6985,7089,T
7151,7179,QRS
7197,7301,T
7362,7390,QRS
7409,7510,T
7566,7599,QRS
7616,7719,T
7775,7808,QRS
7824,7930,T
7987,8020,QRS
8036,8139,T
8201,8230,QRS
8245,8351,T
8413,8441,QRS
8456,8562,T
8623,8651,QRS
8668,8770,T
8832,8860,QRS
8876,8984,T
9041,9074,QRS
9092,9195,T
9257,9285,QRS
9302,9405,T
9461,9495,QRS
9512,9616,T
9672,9706,QRS
9720,9826,T
9888,9916,QRS
9933,10037,T
10098,10128,QRS
10141,10247,T
10304,10337,QRS
10355,10455,T
10511,10544,QRS
10561,10665,T
10725,10754,QRS
10770,10873,T
10930,10963,QRS
10978,11081,T
11143,11171,QRS
11187,11290,T
11293,11313,P
11351,11380,QRS
11395,11498,T
11555,11588,QRS
11605,11708,T
11769,11798,QRS
11811,11917,T
11974,12007,QRS
12024,12126,T
12188,12216,QRS
12232,12335,T
12397,12425,QRS
12441,12543,T
12605,12634,QRS
12648,12753,T
12815,12843,QRS
12859,12961,T
13018,13051,QRS
13069,13170,T
13228,13260,QRS
13273,13379,T
13436,13469,QRS
13477,13587,T
13644,13676,QRS
13686,13795,T
13857,13885,QRS
13901,14004,T
14066,14094,QRS
14110,14212,T
14273,14302,QRS
14313,14420,T
14482,14511,QRS
14525,14630,T
14686,14719,QRS
14738,14839,T
14901,14929,QRS
14944,15051,T
15113,15141,QRS
15157,15263,T
15325,15353,QRS
15374,15474,T
15531,15564,QRS
15580,15687,T
15749,15777,QRS
15792,15899,T
15961,15989,QRS
16006,16111,T
16173,16201,QRS
16216,16324,T
16386,16414,QRS
16429,16537,T
16599,16627,QRS
16642,16749,T
16812,16840,QRS
16859,16962,T
17024,17052,QRS
17067,17173,T
17235,17263,QRS
17277,17385,T
17447,17475,QRS
17493,17597,T
17658,17686,QRS
17702,17807,T
17868,17897,QRS
17911,18018,T
18080,18108,QRS
18124,18230,T
18286,18319,QRS
18332,18440,T
18501,18529,QRS
18544,18650,T
18711,18739,QRS
18758,18860,T
18921,18949,QRS
18964,19069,T
19130,19159,QRS
19175,19279,T
19341,19369,QRS
19383,19490,T
19551,19579,QRS
19594,19699,T
19761,19789,QRS
19806,19912,T
19968,20002,QRS
20016,20122,T
20184,20212,QRS
20231,20332,T
20395,20423,QRS
20442,20545,T
20607,20634,QRS
20645,20757,T
20759,20781,P
20812,20846,QRS
20863,20969,T
21031,21059,QRS
21075,21180,T
21236,21269,QRS
21285,21388,T
21444,21478,QRS
21495,21600,T
21656,21689,QRS
21704,21809,T
21865,21898,QRS
21917,22017,T
22079,22107,QRS
22124,22226,T
22284,22316,QRS
22332,22434,T
22491,22524,QRS
22536,22642,T
22704,22732,QRS
22747,22851,T
22908,22941,QRS
22958,23058,T
23121,23148,QRS
23164,23267,T
23329,23357,QRS
23375,23475,T
23532,23566,QRS
23581,23685,T
23746,23774,QRS
23784,23893,T
23955,23983,QRS
23996,24101,T
24162,24191,QRS
24210,24308,T
24370,24397,QRS
24412,24515,T
24576,24605,QRS
24617,24723,T
24779,24812,QRS
24827,24930,T
24986,25019,QRS
25033,25136,T
25194,25226,QRS
25244,25345,T
25407,25434,QRS
25453,25554,T
25610,25643,QRS
25660,25764,T
25820,25854,QRS
25870,25974,T
26036,26064,QRS
26080,26185,T
26247,26275,QRS
26294,26395,T
26452,26485,QRS
26498,26607,T
26668,26696,QRS
26709,26817,T
26878,26906,QRS
26923,27028,T
27084,27117,QRS
27131,27238,T
27300,27327,QRS
27343,27449,T
27510,27538,QRS
27552,27659,T
27721,27749,QRS
27767,27870,T
27931,27959,QRS
27975,28080,T
28136,28169,QRS
28185,28291,T
28293,28313,P
28353,28380,QRS
28396,28502,T
28563,28591,QRS
28612,28713,T
28775,28803,QRS
28821,28926,T
28988,29015,QRS
29034,29137,T
29198,29226,QRS
29244,29348,T
29410,29438,QRS
29457,29561,T
29617,29651,QRS
29665,29772,T
29828,29862,QRS
29879,29983,T
30044,30072,QRS
30091,30192,T
30248,30281,QRS
30297,30402,T
30463,30491,QRS
30497,30611,T
30672,30700,QRS
30719,30820,T
30877,30909,QRS
30922,31028,T
31089,31117,QRS
31131,31237,T
31293,31326,QRS
31338,31444,T
31500,31534,QRS
31547,31653,T
31713,31741,QRS
31761,31860,T
31916,31950,QRS
31964,32065,T
32123,32156,QRS
32170,32273,T
32329,32362,QRS
32374,32479,T
32541,32569,QRS
32583,32685,T
32746,32773,QRS
32786,32889,T
32946,32979,QRS
32996,33095,T
33098,33117,P
33151,33185,QRS
33200,33303,T
33364,33392,QRS
33403,33508,T
33566,33599,QRS
33614,33716,T
33771,33806,QRS
33821,33925,T
33985,34013,QRS
34032,34133,T
34189,34223,QRS
34235,34341,T
34403,34431,QRS
34449,34549,T
34611,34639,QRS
34656,34756,T
34759,34779,P
34813,34847,QRS
34868,34966,T
35022,35055,QRS
35073,35174,T
35228,35263,QRS
35277,35379,T
35436,35469,QRS
35478,35587,T
35648,35676,QRS
35690,35795,T
35856,35884,QRS
35891,36004,T
36065,36093,QRS
36111,36212,T
36273,36301,QRS
36320,36419,T
36475,36509,QRS
36531,36628,T
36690,36718,QRS
36735,36837,T
36893,36927,QRS
36948,37045,T
37106,37134,QRS
37152,37253,T
37315,37344,QRS
37362,37462,T
37524,37552,QRS
37570,37672,T
37733,37762,QRS
37777,37881,T
37943,37970,QRS
37990,38088,T
38149,38177,QRS
38192,38297,T
38354,38377,QRS
38377,38429,T
38471,38521,QRS
38525,38576,T
38705,38724,P
38772,38800,QRS
38813,38873,T
38914,38934,P
38978,39012,QRS
39026,39079,T
39195,39222,QRS
39238,39291,T
39336,39355,P
39404,39432,QRS
39439,39501,T
39544,39565,P
39615,39643,QRS
39660,39711,T
39825,39853,QRS
39870,39973,T
40035,40063,QRS
40081,40186,T
40248,40275,QRS
40287,40345,T
40448,40476,QRS
40495,40610,T
40670,40698,QRS
40709,40822,T
40883,40911,QRS
40926,41033,T
41094,41123,QRS
41137,41244,T
41305,41333,QRS
41350,41456,T
41516,41544,QRS
41562,41667,T
41727,41756,QRS
41772,41879,T
41941,41968,QRS
41984,42092,T
42153,42181,QRS
42198,42306,T
42367,42394,QRS
42413,42521,T
42582,42610,QRS
42630,42735,T
42797,42825,QRS
42834,42949,T
43010,43037,QRS
43053,43162,T
43223,43252,QRS
43271,43375,T
43436,43463,QRS
43480,43585,T
43646,43674,QRS
43688,43795,T
43855,43884,QRS
43904,44004,T
44065,44093,QRS
44109,44212,T
44273,44300,QRS
44317,44420,T
44481,44509,QRS
44523,44629,T
44684,44717,QRS
44731,44836,T
44892,44925,QRS
44942,45045,T
45106,45134,QRS
45151,45254,T
45315,45343,QRS
45358,45460,T
45463,45483,P
45517,45551,QRS
45567,45670,T
45732,45760,QRS
45778,45879,T
45935,45968,QRS
45983,46087,T
46145,46177,QRS
46197,46297,T
46353,46386,QRS
46399,46504,T
46565,46593,QRS
46606,46711,T
46773,46801,QRS
46819,46919,T
46975,47008,QRS
47019,47125,T
47128,47146,P
47181,47214,QRS
47232,47333,T
47394,47422,QRS
47437,47539,T
47542,47582,P
47594,47629,QRS
47641,47744,T
47805,47833,QRS
47851,47951,T
48008,48041,QRS
48058,48158,T
48219,48248,QRS
48266,48365,T
48422,48455,QRS
48467,48573,T
48629,48663,QRS
48676,48779,T
48841,48869,QRS
48880,48986,T
49043,49076,QRS
49094,49196,T
49251,49284,QRS
49301,49402,T
49463,49491,QRS
49503,49608,T
49664,49697,QRS
49713,49814,T
49876,49904,QRS
49923,50022,T
50078,50111,QRS
50127,50229,T
50290,50319,QRS
50333,50438,T
50499,50527,QRS
50544,50646,T
50708,50736,QRS
50749,50857,T
50920,50947,QRS
50964,51069,T
51131,51159,QRS
51176,51281,T
51343,51371,QRS
51390,51494,T
51551,51584,QRS
51599,51708,T
51769,51797,QRS
51811,51919,T
51981,52009,QRS
52026,52132,T
52187,52221,QRS
52233,52342,T
52398,52432,QRS
52446,52553,T
52614,52642,QRS
52658,52763,T
52825,52853,QRS
52867,52922,T
52968,53006,QRS
53006,53056,T
53097,53135,QRS
53148,53209,T
53383,53402,P
53450,53478,QRS
53495,53552,T
53665,53693,QRS
53705,53762,T
53876,53904,QRS
53918,53973,T
54018,54066,QRS
54087,54143,T
54224,54244,P
54293,54321,QRS
54339,54444,T
54505,54533,QRS
54553,54654,T
54715,54743,QRS
54760,54862,T
54923,54951,QRS
54969,55070,T
55132,55160,QRS
55179,55280,T
55341,55369,QRS
55392,55488,T
55549,55577,QRS
55598,55697,T
55759,55786,QRS
55803,55905,T
55966,55993,QRS
56008,56111,T
56172,56199,QRS
56217,56317,T
56379,56407,QRS
56421,56524,T
56527,56546,P
56580,56613,QRS
56630,56730,T
56787,56820,QRS
56839,56939,T
57000,57028,QRS
57045,57145,T
57201,57234,QRS
57245,57351,T
57407,57441,QRS
57450,57558,T
57614,57647,QRS
57663,57764,T
57825,57853,QRS
57869,57973,T
58027,58061,QRS
58077,58179,T
58234,58267,QRS
58283,58383,T
58440,58473,QRS
58487,58591,T
58647,58681,QRS
58699,58798,T
58801,58821,P
58854,58888,QRS
58903,59007,T
59067,59095,QRS
59109,59214,T
59270,59304,QRS
59319,59420,T
59482,59511,QRS
59527,59629,T
59689,59717,QRS
59732,59837,T
59898,59926,QRS
59940,60044,T
60107,60134,QRS
60159,60253,T
60308,60341,QRS
60359,60458,T
60461,60480,P
60519,60548,QRS
60565,60665,T
60726,60754,QRS
60765,60871,T
60932,60960,QRS
60978,61078,T
61140,61168,QRS
61182,61284,T
61340,61373,QRS
61389,61490,T
61552,61579,QRS
61595,61697,T
61754,61787,QRS
61802,61904,T
61965,61994,QRS
62005,62111,T
62114,62146,P
62167,62200,QRS
62216,62317,T
62373,62407,QRS
62434,62526,T
62587,62615,QRS
62633,62734,T
62790,62824,QRS
62840,62942,T
63003,63031,QRS
63048,63148,T
63209,63237,QRS
63256,63354,T
63416,63444,QRS
63459,63562,T
63623,63652,QRS
63669,63768,T
63830,63858,QRS
63877,63976,T
64032,64066,QRS
64081,64184,T
64246,64274,QRS
64289,64392,T
64454,64481,QRS
64498,64601,T
64662,64691,QRS
64711,64810,T
64872,64900,QRS
64914,65018,T
65075,65108,QRS
65121,65228,T
65290,65318,QRS
65335,65438,T
