ROILimits_1,ROILimits_2,Value
174,198,P
221,248,QRS
271,326,T
425,456,P
461,485,QRS
505,638,T
648,673,P
690,724,QRS
744,796,T
883,906,P
924,957,QRS
977,1035,T
1121,1145,P
1161,1194,QRS
1207,1271,T
1380,1414,P
1414,1441,QRS
1462,1522,T
1609,1633,P
1651,1685,QRS
1706,1762,T
1846,1869,P
1889,1922,QRS
1929,2020,T
2070,2091,P
2111,2144,QRS
2163,2220,T
2301,2326,P
2343,2377,QRS
2398,2450,T
2532,2559,P
2574,2607,QRS
2626,2684,T
2761,2787,P
2804,2837,QRS
2853,2910,T
2989,3011,P
3029,3063,QRS
3085,3140,T
3219,3240,P
3259,3292,QRS
3312,3392,T
3465,3499,P
3499,3526,QRS
3545,3603,T
3681,3706,P
3724,3757,QRS
3781,3833,T
3905,3928,P
3947,3980,QRS
3999,4057,T
4139,4173,P
4174,4201,QRS
4218,4280,T
4360,4393,P
4393,4420,QRS
4439,4495,T
4567,4591,P
4603,4643,QRS
4662,4720,T
4805,4830,P
4852,4881,QRS
4896,4958,T
5048,5073,P
5097,5124,QRS
5148,5203,T
5290,5312,P
5336,5364,QRS
5379,5439,T
5546,5580,P
5580,5607,QRS
5623,5687,T
5773,5796,P
5819,5847,QRS
5855,5922,T
6017,6038,P
6063,6091,QRS
6120,6198,T
6239,6263,P
6281,6314,QRS
6330,6391,T
6463,6488,P
6504,6538,QRS
6558,6613,T
6686,6708,P
6728,6762,QRS
6783,6861,T
6906,6930,P
6954,6983,QRS
7001,7059,T
7132,7156,P
7180,7208,QRS
7228,7282,T
7378,7400,P
7419,7454,QRS
7475,7529,T
7613,7636,P
7659,7687,QRS
7706,7764,T
7864,7888,P
7897,7924,QRS
7938,7998,T
8105,8127,P
8149,8176,QRS
8191,8278,T
8360,8392,P
8393,8422,QRS
8438,8494,T
8587,8609,P
8633,8661,QRS
8675,8737,T
8825,8846,P
8865,8898,QRS
8919,8974,T
9050,9074,P
9098,9126,QRS
9144,9202,T
9289,9309,P
9334,9362,QRS
9386,9437,T
9526,9548,P
9567,9602,QRS
9620,9680,T
9762,9784,P
9809,9837,QRS
9852,9928,T
10007,10030,P
10054,10082,QRS
10106,10163,T
10260,10283,P
10303,10336,QRS
10360,10415,T
10527,10561,P
10561,10591,QRS
10604,10669,T
10776,10810,P
10810,10836,QRS
10854,10917,T
11037,11071,P
11071,11098,QRS
11113,11199,T
11276,11299,P
11324,11353,QRS
11376,11430,T
11519,11541,P
11566,11593,QRS
11617,11669,T
11773,11806,P
11806,11833,QRS
11861,11912,T
11990,12011,P
12030,12063,QRS
12091,12158,T
12212,12234,P
12245,12286,QRS
12304,12367,T
12432,12455,P
12461,12495,QRS
12499,12589,T
12656,12677,P
12694,12729,QRS
12743,12838,T
12900,12921,P
12941,12973,QRS
12987,13050,T
13143,13165,P
13184,13218,QRS
13245,13320,T
13385,13409,P
13428,13461,QRS
13472,13538,T
13645,13679,P
13679,13706,QRS
13726,13785,T
13872,13893,P
13917,13944,QRS
13960,14020,T
14103,14127,P
14142,14177,QRS
14198,14251,T
14344,14366,P
14385,14418,QRS
14437,14495,T
14582,14604,P
14624,14656,QRS
14669,14736,T
14822,14846,P
14863,14895,QRS
14913,14975,T
15070,15102,P
15106,15131,QRS
15159,15210,T
15286,15306,P
15325,15358,QRS
15380,15444,T
15516,15549,P
15549,15577,QRS
15603,15657,T
15720,15743,P
15755,15795,QRS
15809,15871,T
15942,15962,P
15972,16016,QRS
16027,16094,T
16196,16228,P
16228,16257,QRS
16279,16337,T
16434,16456,P
16480,16509,QRS
16527,16689,T
16700,16722,P
16741,16774,QRS
16795,16853,T
16976,16995,P
17020,17049,QRS
17070,17126,T
17257,17290,P
17290,17319,QRS
17338,17398,T
17530,17554,P
17563,17591,QRS
17612,17675,T
17788,17810,P
17834,17863,QRS
17879,17947,T
18051,18072,P
18098,18128,QRS
18150,18211,T
18308,18332,P
18355,18383,QRS
18395,18463,T
18575,18608,P
18609,18638,QRS
18656,18713,T
18819,18851,P
18851,18880,QRS
18894,18956,T
19056,19089,P
19089,19118,QRS
19136,19247,T
19280,19302,P
19327,19355,QRS
19376,19453,T
19523,19548,P
19571,19601,QRS
19615,19704,T
19779,19803,P
19826,19854,QRS
19873,19934,T
20045,20080,P
20080,20107,QRS
20125,20187,T
20307,20331,P
20340,20369,QRS
20391,20449,T
20565,20599,P
20599,20628,QRS
20641,20731,T
20819,20844,P
20853,20881,QRS
20900,20962,T
21078,21111,P
21111,21139,QRS
21168,21290,T
21312,21336,P
21359,21388,QRS
21401,21468,T
21559,21584,P
21606,21634,QRS
21650,21714,T
21803,21829,P
21850,21878,QRS
21891,21953,T
22062,22094,P
22095,22123,QRS
22143,22203,T
22296,22317,P
22337,22370,QRS
22389,22450,T
22540,22563,P
22581,22614,QRS
22620,22698,T
22786,22809,P
22834,22861,QRS
22883,22953,T
23034,23067,P
23067,23095,QRS
23113,23170,T
23271,23302,P
23307,23332,QRS
23351,23408,T
23496,23518,P
23536,23570,QRS
23589,23644,T
23733,23755,P
23775,23808,QRS
23825,23887,T
23999,24032,P
24033,24061,QRS
24080,24137,T
24231,24254,P
24277,24306,QRS
24318,24385,T
24468,24493,P
24516,24543,QRS
24562,24620,T
24710,24734,P
24757,24786,QRS
24805,24864,T
24949,24982,P
24997,25024,QRS
25045,25103,T
25183,25208,P
25231,25258,QRS
25279,25337,T
25446,25478,P
25478,25506,QRS
25523,25609,T
25680,25706,P
25729,25756,QRS
25773,25841,T
25929,25950,P
25969,26005,QRS
26028,26078,T
26165,26189,P
26207,26241,QRS
26260,26339,T
26406,26430,P
26455,26483,QRS
26498,26582,T
26653,26675,P
26700,26728,QRS
26747,26807,T
26904,26937,P
26937,26966,QRS
26989,27044,T
27144,27177,P
27177,27205,QRS
27219,27282,T
27366,27388,P
27413,27440,QRS
27455,27520,T
27620,27651,P
27652,27680,QRS
27695,27765,T
27839,27862,P
27886,27914,QRS
27930,27993,T
28076,28099,P
28117,28150,QRS
28167,28233,T
28331,28364,P
28365,28392,QRS
28410,28486,T
28546,28570,P
28594,28621,QRS
28639,28696,T
28777,28800,P
28824,28853,QRS
28872,28929,T
29016,29041,P
29058,29092,QRS
29107,29172,T
29255,29277,P
29296,29330,QRS
29349,29407,T
29502,29525,P
29549,29576,QRS
29595,29655,T
29753,29778,P
29791,29831,QRS
29850,29908,T
30015,30048,P
30048,30076,QRS
30095,30156,T
30261,30285,P
30307,30335,QRS
30344,30511,T
30540,30574,P
30574,30602,QRS
30621,30706,T
30807,30840,P
30840,30868,QRS
30886,30951,T
31053,31077,P
31100,31128,QRS
31148,31207,T
31313,31335,P
31360,31388,QRS
31408,31465,T
31570,31592,P
31611,31645,QRS
31669,31723,T
31820,31842,P
31867,31895,QRS
31906,31977,T
32072,32094,P
32117,32145,QRS
32155,32222,T
32331,32364,P
32364,32392,QRS
32413,32476,T
32557,32584,P
32597,32632,QRS
32655,32719,T
32812,32846,P
32846,32874,QRS
32895,32953,T
33037,33060,P
33079,33113,QRS
33128,33191,T
33273,33295,P
33315,33349,QRS
33364,33426,T
33515,33539,P
33563,33591,QRS
33609,33673,T
33750,33775,P
33792,33825,QRS
33844,33903,T
33980,34003,P
34028,34055,QRS
34073,34134,T
34208,34235,P
34256,34285,QRS
34306,34358,T
34446,34479,P
34480,34508,QRS
34526,34585,T
34655,34679,P
34704,34731,QRS
34754,34807,T
34872,34900,P
34923,34950,QRS
34971,35030,T
35085,35113,P
35137,35165,QRS
35180,35263,T
35306,35329,P
35349,35382,QRS
35405,35462,T
35527,35551,P
35574,35604,QRS
35628,35679,T
35747,35768,P
35793,35820,QRS
35838,35925,T
35985,36009,P
36018,36045,QRS
36056,36118,T
36158,36200,QRS
36210,36272,T
36430,36451,P
36460,36490,QRS
36507,36571,T
36629,36651,P
36676,36704,QRS
36721,36780,T
36840,36863,P
36886,36914,QRS
36931,36993,T
37056,37079,P
37097,37130,QRS
37150,37209,T
37275,37298,P
37317,37351,QRS
37370,37429,T
37499,37519,P
37543,37571,QRS
37582,37649,T
37723,37746,P
37769,37797,QRS
37813,37879,T
37970,37993,P
38011,38043,QRS
38058,38121,T
38222,38245,P
38270,38298,QRS
38317,38379,T
38469,38492,P
38516,38544,QRS
38566,38622,T
38701,38722,P
38741,38774,QRS
38790,38851,T
38936,38959,P
38978,39011,QRS
39025,39091,T
39177,39200,P
39224,39253,QRS
39260,39331,T
39415,39443,P
39460,39489,QRS
39511,39565,T
39647,39669,P
39688,39720,QRS
39740,39797,T
39880,39902,P
39920,39952,QRS
39970,40056,T
40117,40140,P
40159,40193,QRS
40212,40273,T
40352,40378,P
40394,40427,QRS
40444,40508,T
40589,40611,P
40630,40662,QRS
40673,40742,T
40832,40855,P
40873,40907,QRS
40925,40986,T
41072,41095,P
41107,41135,QRS
41158,41219,T
41310,41333,P
41352,41385,QRS
41398,41461,T
41549,41572,P
41591,41623,QRS
41636,41700,T
41789,41813,P
41830,41864,QRS
41887,41945,T
42024,42049,P
42066,42100,QRS
42123,42180,T
42258,42281,P
42300,42334,QRS
42349,42409,T
42487,42511,P
42530,42563,QRS
42584,42643,T
42643,42674,P
42694,42726,QRS
42747,42800,T
42964,42986,P
43003,43037,QRS
43057,43141,T
43208,43231,P
43249,43284,QRS
43293,43365,T
43443,43465,P
43484,43518,QRS
43533,43599,T
43683,43706,P
43725,43759,QRS
43779,43836,T
43930,43955,P
43973,44007,QRS
44020,44089,T
44170,44194,P
44212,44246,QRS
44268,44324,T
