ROILimits_1,ROILimits_2,Value
65,80,P
99,122,QRS
145,231,T
234,250,P
271,294,QRS
319,393,T
409,426,P
444,469,QRS
581,595,P
615,638,QRS
664,706,T
751,766,P
783,807,QRS
827,879,T
922,936,P
956,981,QRS
1010,1054,T
1088,1104,P
1135,1158,QRS
1188,1252,T
1270,1286,P
1307,1330,QRS
1361,1400,T
1442,1457,P
1474,1497,QRS
1521,1570,T
1611,1628,P
1646,1670,QRS
1697,1748,T
1785,1801,P
1818,1841,QRS
1865,1909,T
1947,1963,P
1992,2012,QRS
2044,2117,T
2124,2142,P
2171,2194,QRS
2218,2293,T
2310,2325,P
2345,2368,QRS
2394,2462,T
2471,2488,P
2517,2540,QRS
2571,2606,T
2628,2642,P
2659,2682,QRS
2710,2774,T
2823,2839,P
2868,2891,QRS
2915,2965,T
2990,3029,QRS
3045,3089,T
3108,3142,P
3158,3195,QRS
3210,3282,T
3339,3355,P
3382,3405,QRS
3438,3481,T
3505,3523,P
3552,3577,QRS
3599,3648,T
3689,3704,P
3725,3747,QRS
3774,3823,T
3855,3872,P
3900,3923,QRS
3947,3991,T
4023,4039,P
4068,4092,QRS
4117,4157,T
4188,4204,P
4233,4255,QRS
4287,4330,T
4371,4387,P
4407,4432,QRS
4461,4507,T
4540,4556,P
4585,4607,QRS
4635,4679,T
4720,4736,P
4754,4778,QRS
4797,4881,T
4884,4901,P
4921,4946,QRS
4968,5016,T
5055,5071,P
5092,5114,QRS
5141,5221,T
5224,5239,P
5260,5286,QRS
5315,5358,T
5390,5406,P
5434,5458,QRS
5482,5533,T
5564,5581,P
5608,5631,QRS
5659,5707,T
5738,5754,P
5781,5804,QRS
5825,5872,T
5915,5930,P
5952,5974,QRS
6005,6048,T
6081,6099,P
6128,6153,QRS
6182,6231,T
6326,6361,P
6387,6411,QRS
6433,6503,T
6584,6607,QRS
6632,6705,T
6740,6757,P
6785,6808,QRS
6838,6903,T
6918,6934,P
6965,6989,QRS
7016,7088,T
7096,7113,P
7143,7167,QRS
7197,7242,T
7283,7297,P
7318,7341,QRS
7366,7440,T
7455,7471,P
7491,7513,QRS
7541,7606,T
7629,7646,P
7663,7688,QRS
7710,7788,T
7806,7822,P
7845,7867,QRS
7893,7935,T
7983,7999,P
8018,8042,QRS
8071,8137,T
8151,8166,P
8187,8209,QRS
8238,8283,T
8324,8339,P
8357,8380,QRS
8405,8459,T
8484,8502,P
8528,8553,QRS
8576,8624,T
8658,8674,P
8704,8727,QRS
8753,8803,T
8832,8848,P
8878,8902,QRS
8925,8974,T
9007,9022,P
9042,9066,QRS
9092,9136,T
9166,9182,P
9212,9233,QRS
9259,9343,T
9346,9363,P
9382,9407,QRS
9435,9478,T
9525,9540,P
9561,9583,QRS
9609,9653,T
9698,9713,P
9734,9758,QRS
9778,9828,T
9867,9882,P
9901,9926,QRS
9951,10032,T
10035,10050,P
10073,10094,QRS
10120,10191,T
10208,10223,P
10241,10266,QRS
10294,10342,T
10383,10398,P
10418,10442,QRS
