ROILimits_1,ROILimits_2,Value
272,296,P
302,331,QRS
371,436,T
572,594,P
602,628,QRS
666,733,T
873,896,P
902,930,QRS
968,1056,T
1172,1195,P
1203,1229,QRS
1268,1334,T
1462,1486,P
1494,1522,QRS
1585,1645,T
1745,1766,P
1774,1804,QRS
1843,1907,T
2027,2050,P
2060,2087,QRS
2133,2193,T
2315,2330,P
2347,2373,QRS
2416,2477,T
2595,2618,P
2628,2655,QRS
2709,2757,T
2877,2901,P
2909,2936,QRS
2971,3039,T
3166,3188,P
3195,3222,QRS
3274,3329,T
3461,3484,P
3492,3520,QRS
3573,3623,T
3748,3769,P
3779,3807,QRS
3853,3984,T
4033,4052,P
4064,4092,QRS
4142,4197,T
4317,4337,P
4347,4375,QRS
4434,4495,T
4589,4611,P
4621,4649,QRS
4697,4748,T
4859,4873,P
4889,4920,QRS
4970,5018,T
5127,5152,P
5161,5187,QRS
5227,5292,T
5409,5432,P
5440,5470,QRS
5520,5572,T
5688,5709,P
5716,5748,QRS
5796,5854,T
5970,5994,P
6002,6029,QRS
6084,6131,T
6259,6281,P
6294,6320,QRS
6371,6424,T
6530,6555,P
6565,6592,QRS
6638,6695,T
6788,6812,P
6824,6852,QRS
6897,6951,T
7043,7067,P
7078,7104,QRS
7153,7206,T
7301,7324,P
7336,7363,QRS
7414,7468,T
7570,7592,P
7604,7631,QRS
7681,7734,T
7847,7870,P
7883,7910,QRS
7948,8015,T
8128,8151,P
8163,8190,QRS
8231,8295,T
8407,8430,P
8441,8467,QRS
8507,8572,T
8673,8697,P
8708,8734,QRS
8774,8841,T
8936,8960,P
8969,8997,QRS
9042,9102,T
9184,9208,P
9218,9245,QRS
9275,9364,T
9421,9445,P
9457,9483,QRS
9518,9589,T
9660,9684,P
9696,9722,QRS
9765,9827,T
9902,9925,P
9937,9966,QRS
10017,10067,T
10145,10169,P
10181,10209,QRS
10247,10312,T
10394,10418,P
10428,10456,QRS
10496,10561,T
10655,10678,P
10690,10717,QRS
10758,10821,T
10924,10947,P
10958,10984,QRS
11036,11091,T
11186,11208,P
11221,11250,QRS
11281,11380,T
11444,11468,P
11480,11507,QRS
11544,11611,T
11710,11736,P
11746,11771,QRS
11808,11889,T
11988,12012,P
12023,12051,QRS
12102,12153,T
12262,12285,P
12295,12325,QRS
12366,12422,T
12533,12557,P
12567,12593,QRS
12648,12718,T
12808,12830,P
12840,12868,QRS
12898,12970,T
13080,13104,P
13113,13141,QRS
13180,13240,T
13346,13371,P
13381,13408,QRS
13442,13507,T
13612,13636,P
13641,13673,QRS
13714,13782,T
13884,13908,P
13920,13947,QRS
13998,14048,T
14152,14175,P
14186,14213,QRS
14254,14314,T
14408,14434,P
14442,14470,QRS
14508,14575,T
14674,14697,P
14708,14735,QRS
14770,14837,T
14945,14967,P
14979,15006,QRS
15043,15111,T
15228,15252,P
15264,15292,QRS
15331,15393,T
15515,15540,P
15550,15577,QRS
15613,15678,T
15811,15836,P
15845,15872,QRS
15912,15979,T
16115,16139,P
16148,16173,QRS
16216,16296,T
16410,16432,P
16441,16468,QRS
16520,16572,T
16701,16725,P
16734,16762,QRS
16803,16863,T
16983,17007,P
17016,17042,QRS
17089,17148,T
17277,17300,P
17308,17337,QRS
17375,17439,T
17570,17593,P
17603,17629,QRS
17672,17739,T
17867,17889,P
17898,17926,QRS
17977,18030,T
18149,18169,P
18179,18209,QRS
18249,18310,T
18435,18458,P
18466,18492,QRS
18545,18597,T
18716,18739,P
18747,18772,QRS
18809,18875,T
18997,19019,P
19029,19055,QRS
19106,19157,T
19276,19299,P
19308,19336,QRS
19376,19432,T
19547,19571,P
19577,19604,QRS
19638,19714,T
19821,19843,P
19851,19879,QRS
19921,19986,T
20096,20118,P
20127,20152,QRS
20204,20257,T
20368,20392,P
20400,20428,QRS
20473,20528,T
20642,20665,P
20674,20700,QRS
20735,20892,T
20921,20943,P
20952,20978,QRS
21017,21086,T
21210,21233,P
21242,21269,QRS
21323,21370,T
21495,21518,P
21526,21555,QRS
21599,21658,T
21790,21812,P
21821,21848,QRS
21897,21952,T
22079,22102,P
22111,22137,QRS
22188,22237,T
22366,22388,P
22398,22426,QRS
22469,22527,T
22653,22677,P
22684,22712,QRS
22749,22819,T
22943,22967,P
22974,23002,QRS
23041,23108,T
23236,23261,P
23270,23297,QRS
23350,23402,T
23518,23542,P
23549,23579,QRS
23625,23680,T
23799,23825,P
23833,23860,QRS
23895,23962,T
24078,24101,P
24109,24136,QRS
24187,24240,T
24352,24374,P
24384,24412,QRS
24458,24512,T
24624,24653,P
24653,24682,QRS
24726,24781,T
24902,24923,P
24931,24960,QRS
25006,25063,T
25188,25212,P
25220,25246,QRS
25296,25346,T
25471,25493,P
25501,25532,QRS
25573,25632,T
25753,25776,P
25784,25813,QRS
25861,25913,T
26042,26064,P
26071,26100,QRS
26149,26200,T
26338,26361,P
26369,26395,QRS
26444,26499,T
26633,26655,P
26663,26690,QRS
26745,26795,T
26921,26944,P
26953,26983,QRS
27031,27084,T
27207,27232,P
27238,27265,QRS
27304,27400,T
27495,27518,P
27525,27555,QRS
27601,27664,T
27770,27793,P
27795,27834,QRS
27879,27940,T
28021,28045,P
28056,28086,QRS
28116,28187,T
28263,28285,P
28287,28328,QRS
28367,28438,T
28505,28528,P
28538,28569,QRS
28603,28701,T
28744,28766,P
28776,28807,QRS
28847,28904,T
28983,29007,P
29019,29046,QRS
29085,29151,T
29214,29236,P
29247,29275,QRS
29322,29374,T
29436,29459,P
29470,29494,QRS
29515,29609,T
29660,29685,P
29692,29722,QRS
