ROILimits_1,ROILimits_2,Value
159,189,P
212,241,QRS
271,399,T
464,488,P
510,539,QRS
571,622,T
764,787,P
812,839,QRS
876,1026,T
1061,1092,P
1113,1143,QRS
1176,1226,T
1343,1374,P
1396,1419,QRS
1456,1583,T
1633,1663,P
1685,1716,QRS
1748,1861,T
1939,1969,P
1993,2022,QRS
2243,2272,P
2296,2323,QRS
2545,2572,P
2595,2623,QRS
2842,2871,P
2894,2923,QRS
3142,3173,P
3196,3225,QRS
3254,3303,T
3447,3476,P
3501,3528,QRS
3748,3777,P
3799,3828,QRS
3858,3979,T
4045,4075,P
4098,4128,QRS
4349,4380,P
4403,4434,QRS
4468,4531,T
4660,4685,P
4707,4736,QRS
4956,4983,P
5008,5035,QRS
5256,5285,P
5308,5336,QRS
5370,5417,T
5558,5589,P
5611,5634,QRS
5863,5893,P
5911,5943,QRS
5978,6062,T
6163,6191,P
6213,6243,QRS
6462,6491,P
6513,6545,QRS
6765,6795,P
6820,6847,QRS
6894,6928,T
7067,7097,P
7119,7145,QRS
7174,7224,T
7364,7394,P
7417,7446,QRS
7662,7691,P
7715,7744,QRS
7945,7975,P
7998,8020,QRS
8239,8270,P
8287,8323,QRS
8546,8575,P
8598,8624,QRS
8842,8873,P
8897,8928,QRS
8958,9006,T
9149,9179,P
9203,9231,QRS
9449,9478,P
9502,9529,QRS
9747,9778,P
9801,9829,QRS
10047,10079,P
10099,10131,QRS
10352,10381,P
10406,10433,QRS
10656,10686,P
10707,10736,QRS
10954,10984,P
11007,11034,QRS
11251,11282,P
11305,11335,QRS
11551,11582,P
11605,11634,QRS
11843,11873,P
11895,11923,QRS
12132,12161,P
12185,12207,QRS
12247,12346,T
12418,12448,P
12472,12494,QRS
12535,12628,T
12703,12733,P
12756,12779,QRS
12816,12908,T
12988,13017,P
13038,13062,QRS
13289,13322,P
13343,13376,QRS
13604,13631,P
13655,13686,QRS
13911,13941,P
13964,13993,QRS
14021,14073,T
14214,14243,P
14267,14297,QRS
14326,14445,T
14514,14545,P
14567,14596,QRS
14627,14724,T
14822,14849,P
14873,14902,QRS
14932,15051,T
15125,15154,P
15178,15207,QRS
15429,15458,P
15481,15510,QRS
15556,15670,T
15729,15758,P
15782,15810,QRS
15843,15890,T
16033,16062,P
16086,16115,QRS
16148,16267,T
16341,16370,P
16394,16421,QRS
16458,16547,T
16641,16669,P
16693,16720,QRS
16751,16803,T
16942,16970,P
16992,17024,QRS
17054,17182,T
17246,17274,P
17299,17326,QRS
17360,17481,T
17538,17567,P
17590,17619,QRS
17654,17765,T
17839,17869,P
17892,17920,QRS
17951,18078,T
18141,18170,P
18194,18222,QRS
18254,18357,T
18443,18473,P
18497,18526,QRS
18559,18608,T
18747,18778,P
18801,18828,QRS
18862,18919,T
19046,19076,P
19100,19126,QRS
19160,19277,T
19347,19377,P
19400,19432,QRS
19466,19626,T
19652,19682,P
19706,19735,QRS
19768,19816,T
19953,19983,P
20006,20033,QRS
20067,20176,T
20255,20284,P
20304,20335,QRS
20369,20416,T
20556,20582,P
20607,20635,QRS
20855,20885,P
20909,20936,QRS
21151,21181,P
21202,21225,QRS
21437,21468,P
21490,21512,QRS
21560,21669,T
21729,21758,P
21783,21812,QRS
22019,22049,P
22071,22094,QRS
22133,22178,T
22305,22334,P
22350,22379,QRS
22583,22613,P
22631,22658,QRS
22695,22743,T
22865,22894,P
22917,22939,QRS
22980,23023,T
23160,23191,P
23214,23242,QRS
23278,23324,T
23487,23519,P
23539,23571,QRS
23793,23824,P
23847,23876,QRS
24098,24129,P
24154,24186,QRS
24408,24439,P
24462,24491,QRS
24712,24741,P
24766,24793,QRS
25014,25044,P
25068,25095,QRS
25157,25202,T
25317,25345,P
25369,25401,QRS
25460,25498,T
25625,25654,P
25677,25705,QRS
25925,25957,P
25979,26007,QRS
26225,26254,P
26278,26307,QRS
26339,26383,T
26527,26557,P
26582,26612,QRS
26833,26864,P
26887,26914,QRS
27121,27149,P
27174,27196,QRS
27408,27438,P
27462,27483,QRS
27719,27749,P
27773,27804,QRS
28029,28058,P
28083,28109,QRS
28146,28190,T
28332,28361,P
28384,28411,QRS
28444,28572,T
28633,28661,P
28684,28715,QRS
28937,28966,P
28992,29021,QRS
29244,29274,P
29298,29326,QRS
29545,29573,P
29597,29627,QRS
29664,29813,T
29849,29876,P
29900,29930,QRS
29959,30011,T
30151,30180,P
30205,30226,QRS
30267,30374,T
30458,30487,P
30503,30538,QRS
30572,30686,T
30746,30776,P
30796,30821,QRS
30858,30978,T
31027,31057,P
31080,31103,QRS
31142,31263,T
31315,31347,P
31369,31402,QRS
31430,31499,T
31626,31655,P
31679,31708,QRS
31931,31962,P
31985,32016,QRS
