ROILimits_1,ROILimits_2,Value
222,241,P
254,277,QRS
308,353,T
459,484,P
485,516,QRS
550,590,T
709,734,P
737,770,QRS
796,844,T
965,985,P
990,1019,QRS
1047,1097,T
1207,1230,P
1242,1265,QRS
1293,1342,T
1443,1471,P
1481,1504,QRS
1535,1580,T
1676,1702,P
1713,1735,QRS
1766,1810,T
1904,1934,P
1935,1969,QRS
1992,2038,T
2133,2152,P
2164,2191,QRS
2224,2265,T
2355,2385,P
2388,2415,QRS
2446,2490,T
2583,2611,P
2619,2643,QRS
2671,2719,T
2811,2838,P
2849,2873,QRS
2908,2949,T
3049,3075,P
3077,3103,QRS
3135,3179,T
3276,3299,P
3302,3334,QRS
3367,3408,T
3511,3532,P
3540,3567,QRS
3597,3639,T
3739,3762,P
3773,3797,QRS
3827,3871,T
3972,3993,P
4004,4027,QRS
4058,4100,T
4215,4233,P
4242,4266,QRS
4296,4340,T
4452,4472,P
4481,4507,QRS
4538,4583,T
4689,4716,P
4720,4748,QRS
4777,4820,T
4935,4953,P
4962,4988,QRS
5017,5061,T
5176,5200,P
5210,5233,QRS
5262,5307,T
5417,5443,P
5446,5476,QRS
5505,5549,T
5662,5684,P
5695,5718,QRS
5746,5791,T
5907,5928,P
5933,5959,QRS
5992,6033,T
6155,6179,P
6181,6212,QRS
6240,6285,T
6409,6426,P
6439,6461,QRS
6488,6536,T
6649,6678,P
6687,6710,QRS
6737,6785,T
6901,6929,P
6939,6963,QRS
6989,7038,T
7149,7181,P
7185,7212,QRS
7240,7284,T
7400,7426,P
7437,7460,QRS
7493,7536,T
7649,7671,P
7679,7705,QRS
7735,7782,T
7887,7913,P
7920,7948,QRS
7977,8023,T
8137,8164,P
8169,8193,QRS
8220,8269,T
8378,8409,P
8418,8444,QRS
8474,8517,T
8642,8662,P
8673,8700,QRS
8730,8777,T
8896,8916,P
8920,8950,QRS
8977,9029,T
9141,9170,P
9179,9203,QRS
9231,9278,T
9405,9431,P
9439,9462,QRS
9491,9536,T
9656,9681,P
9694,9719,QRS
9748,9791,T
9902,9927,P
9934,9962,QRS
9997,10035,T
10140,10163,P
10173,10198,QRS
10226,10274,T
10367,10391,P
10404,10427,QRS
10460,10501,T
10607,10628,P
10633,10661,QRS
10694,10734,T
10853,10871,P
10881,10907,QRS
10937,10980,T
11094,11124,P
11128,11154,QRS
11181,11233,T
11341,11362,P
11375,11399,QRS
11426,11475,T
11574,11600,P
11609,11633,QRS
11666,11707,T
11810,11831,P
11843,11867,QRS
11898,11945,T
12046,12069,P
12083,12105,QRS
12141,12179,T
12287,12316,P
12320,12350,QRS
12379,12420,T
12534,12560,P
12569,12596,QRS
12624,12668,T
12785,12809,P
12822,12846,QRS
12877,12921,T
13042,13063,P
13074,13097,QRS
13126,13174,T
13284,13309,P
13315,13345,QRS
13372,13420,T
13536,13554,P
13567,13588,QRS
13618,13667,T
13785,13810,P
13812,13841,QRS
13870,13914,T
14024,14051,P
14061,14083,QRS
14116,14157,T
14269,14296,P
14308,14331,QRS
14364,14412,T
14532,14551,P
14563,14585,QRS
14619,14662,T
14777,14803,P
14811,14838,QRS
14867,14913,T
15035,15052,P
15063,15090,QRS
15119,15165,T
15279,15302,P
15307,15337,QRS
15366,15412,T
15526,15549,P
15559,15583,QRS
15611,15662,T
15776,15796,P
15801,15829,QRS
15859,15902,T
16026,16048,P
16057,16081,QRS
16114,16156,T
16275,16296,P
16307,16332,QRS
16359,16406,T
16515,16540,P
16542,16574,QRS
16613,16649,T
16762,16783,P
16797,16823,QRS
16849,16901,T
17006,17024,P
17030,17061,QRS
17091,17131,T
17238,17265,P
17268,17292,QRS
17326,17366,T
17473,17492,P
17504,17526,QRS
17559,17601,T
17705,17736,P
17740,17771,QRS
17801,17842,T
17938,17955,P
17986,18008,QRS
18041,18085,T
18191,18215,P
18225,18248,QRS
18281,18326,T
18435,18451,P
18464,18497,QRS
18525,18571,T
18691,18719,P
18724,18746,QRS
18780,18822,T
18928,18948,P
18963,18986,QRS
19022,19064,T
19176,19195,P
19199,19228,QRS
19254,19305,T
19408,19428,P
19440,19463,QRS
19492,19542,T
19621,19644,P
19669,19693,QRS
19720,19765,T
19862,19880,P
19897,19922,QRS
19952,19995,T
20093,20116,P
20125,20147,QRS
20183,20223,T
20318,20346,P
20358,20382,QRS
20409,20453,T
20563,20585,P
20593,20620,QRS
20649,20689,T
20792,20813,P
20823,20853,QRS
20883,20921,T
21018,21042,P
21048,21076,QRS
21104,21154,T
21243,21267,P
21277,21301,QRS
21332,21375,T
21467,21490,P
21493,21521,QRS
21550,21595,T
21680,21704,P
21715,21739,QRS
21767,21812,T
21902,21923,P
21926,21954,QRS
21986,22028,T
22096,22107,P
22142,22170,QRS
22204,22241,T
22335,22352,P
22368,22392,QRS
22423,22465,T
22566,22585,P
22598,22621,QRS
22650,22699,T
22801,22825,P
22837,22862,QRS
22891,22934,T
23034,23062,P
23074,23095,QRS
23125,23172,T
23269,23296,P
23300,23330,QRS
23362,23406,T
23499,23524,P
23537,23560,QRS
23590,23636,T
23711,23734,P
23756,23788,QRS
23820,23861,T
23957,23980,P
23990,24015,QRS
24043,24089,T
24188,24209,P
24221,24243,QRS
24278,24320,T
24412,24443,P
24445,24474,QRS
24503,24549,T
24646,24673,P
24677,24704,QRS
24733,24776,T
24876,24897,P
24909,24931,QRS
24963,25010,T
25115,25135,P
25147,25170,QRS
25203,25248,T
25360,25381,P
25392,25417,QRS
25449,25493,T
25597,25622,P
25623,25654,QRS
25685,25731,T
25831,25856,P
25867,25890,QRS
25916,25963,T
26068,26091,P
26095,26124,QRS
26157,26200,T
26309,26328,P
26336,26362,QRS
26393,26435,T
26542,26565,P
26577,26600,QRS
26630,26679,T
26784,26805,P
26815,26838,QRS
26866,26912,T
27012,27035,P
27045,27068,QRS
27103,27143,T
27233,27251,P
27265,27289,QRS
27312,27421,T
27423,27446,P
27486,27509,QRS
27538,27642,T
27671,27693,P
27703,27727,QRS
27757,27798,T
27892,27910,P
27922,27946,QRS
27975,28023,T
28108,28127,P
