ROILimits_1,ROILimits_2,Value
68,93,P
105,124,QRS
169,220,T
339,364,P
376,399,QRS
442,491,T
615,639,P
652,674,QRS
718,766,T
885,909,P
921,945,QRS
990,1037,T
1153,1177,P
1189,1213,QRS
1254,1305,T
1434,1459,P
1470,1493,QRS
1535,1584,T
1713,1737,P
1749,1773,QRS
1818,1864,T
1995,2019,P
2031,2054,QRS
2097,2147,T
2273,2297,P
2309,2327,QRS
2376,2424,T
2546,2570,P
2582,2605,QRS
2646,2697,T
2823,2848,P
2859,2878,QRS
2925,2974,T
3102,3126,P
3138,3161,QRS
3204,3253,T
3375,3400,P
3411,3435,QRS
3476,3527,T
3643,3672,P
3683,3707,QRS
3749,3798,T
3901,3930,P
3941,3965,QRS
4007,4057,T
4134,4163,P
4177,4199,QRS
4244,4290,T
4358,4387,P
4398,4422,QRS
4464,4514,T
4578,4608,P
4618,4641,QRS
4683,4733,T
4793,4822,P
4833,4857,QRS
4897,4947,T
5041,5069,P
5080,5099,QRS
5146,5197,T
5295,5324,P
5335,5358,QRS
5398,5450,T
5551,5579,P
5590,5613,QRS
5653,5706,T
5822,5850,P
5862,5885,QRS
5930,5977,T
6095,6124,P
6135,6158,QRS
6200,6250,T
6383,6409,P
6421,6445,QRS
6488,6536,T
6658,6682,P
6694,6717,QRS
6757,6808,T
6932,6956,P
6968,6991,QRS
7035,7083,T
7203,7228,P
7239,7262,QRS
7306,7353,T
7479,7504,P
7515,7538,QRS
7582,7630,T
7756,7781,P
7792,7816,QRS
7856,7906,T
8031,8056,P
8067,8091,QRS
8133,8182,T
8294,8323,P
8334,8357,QRS
8399,8449,T
8527,8557,P
8568,8591,QRS
8633,8681,T
8754,8782,P
8794,8818,QRS
8861,8908,T
8988,9015,P
9027,9051,QRS
9094,9141,T
9224,9253,P
9264,9283,QRS
9330,9379,T
9488,9517,P
9529,9552,QRS
9593,9642,T
9761,9791,P
9802,9825,QRS
9868,9916,T
10022,10051,P
10062,10086,QRS
10128,10176,T
10275,10304,P
10315,10338,QRS
10381,10430,T
10530,10559,P
10570,10594,QRS
10636,10684,T
10781,10810,P
10821,10844,QRS
10886,10934,T
11030,11059,P
11070,11093,QRS
11135,11184,T
11281,11310,P
11321,11344,QRS
11387,11435,T
11536,11564,P
11575,11599,QRS
11637,11688,T
11807,11835,P
11847,11870,QRS
11912,11962,T
12075,12103,P
12115,12138,QRS
12182,12229,T
12342,12371,P
12383,12407,QRS
12449,12498,T
12602,12631,P
12643,12666,QRS
12709,12757,T
12859,12888,P
12899,12922,QRS
12965,13013,T
13124,13152,P
13164,13187,QRS
13228,13279,T
13375,13403,P
13415,13438,QRS
13480,13529,T
13616,13645,P
13656,13679,QRS
13722,13770,T
13851,13879,P
13890,13914,QRS
13955,14003,T
14098,14127,P
14138,14161,QRS
14204,14253,T
14334,14362,P
14373,14396,QRS
14440,14487,T
14556,14584,P
14597,14619,QRS
14662,14710,T
14791,14819,P
14831,14855,QRS
14895,14944,T
15052,15080,P
15092,15115,QRS
15156,15205,T
15320,15349,P
15360,15383,QRS
15422,15474,T
15575,15604,P
15615,15638,QRS
15680,15728,T
15838,15867,P
15878,15901,QRS
15941,15993,T
16106,16134,P
16146,16169,QRS
16212,16260,T
16366,16395,P
16406,16429,QRS
16473,16522,T
16641,16670,P
16681,16704,QRS
16747,16795,T
16891,16920,P
16932,16956,QRS
16998,17047,T
17146,17175,P
17187,17209,QRS
17250,17300,T
17403,17433,P
17443,17467,QRS
17511,17557,T
17660,17688,P
17700,17723,QRS
17768,17814,T
17910,17940,P
17951,17974,QRS
18017,18064,T
18141,18172,P
18185,18207,QRS
18249,18297,T
18377,18406,P
18417,18441,QRS
18484,18531,T
18602,18631,P
18643,18667,QRS
18710,18757,T
18824,18852,P
18864,18882,QRS
18930,18978,T
19047,19077,P
19088,19106,QRS
19153,19201,T
19305,19333,P
19345,19368,QRS
19409,19458,T
19541,19571,P
19582,19605,QRS
19647,19695,T
19811,19840,P
19851,19874,QRS
19915,19965,T
20076,20105,P
20116,20139,QRS
20182,20230,T
20354,20384,P
20394,20417,QRS
20457,20508,T
20633,20662,P
20673,20696,QRS
20739,20786,T
20905,20933,P
20945,20968,QRS
21012,21059,T
21179,21209,P
21220,21243,QRS
21286,21332,T
21453,21481,P
21493,21516,QRS
21560,21607,T
21723,21753,P
21763,21786,QRS
21829,21876,T
21996,22024,P
22035,22059,QRS
22099,22149,T
22260,22289,P
22300,22323,QRS
22363,22414,T
22529,22557,P
22569,22592,QRS
22634,22683,T
22798,22828,P
22838,22862,QRS
22903,22952,T
23073,23102,P
23112,23136,QRS
