ROILimits_1,ROILimits_2,Value
236,259,P
261,294,QRS
336,383,T
415,441,P
452,477,QRS
523,571,T
598,625,P
634,661,QRS
701,752,T
783,811,P
815,845,QRS
889,934,T
971,997,P
1005,1032,QRS
1075,1121,T
1163,1184,P
1188,1224,QRS
1263,1309,T
1350,1371,P
1374,1406,QRS
1447,1495,T
1527,1555,P
1561,1594,QRS
1635,1678,T
1718,1740,P
1748,1777,QRS
1816,1863,T
1903,1925,P
1934,1967,QRS
2003,2051,T
2088,2110,P
2119,2148,QRS
2185,2233,T
2268,2293,P
2296,2331,QRS
2370,2418,T
2454,2476,P
2481,2512,QRS
2553,2601,T
2636,2660,P
2670,2694,QRS
2735,2784,T
2821,2843,P
2846,2878,QRS
2924,2991,T
3006,3026,P
3029,3063,QRS
3106,3165,T
3226,3243,P
3246,3295,QRS
3308,3354,T
3412,3429,P
3430,3470,QRS
3494,3537,T
3596,3613,P
3616,3667,QRS
3680,3722,T
3759,3788,P
3799,3850,QRS
3865,3906,T
3943,3973,P
3983,4023,QRS
4051,4091,T
4097,4140,P
4148,4200,QRS
4202,4276,T
4282,4327,P
4332,4406,QRS
4416,4461,T
4470,4512,P
4520,4551,QRS
4551,4597,T
4655,4699,P
4707,4750,QRS
4751,4793,T
4859,4886,P
4896,4961,QRS
4970,5034,T
5047,5071,P
5081,5132,QRS
5229,5257,P
5266,5316,QRS
5417,5442,P
5451,5480,QRS
5480,5523,T
5604,5627,P
5639,5673,QRS
5674,5759,T
5787,5813,P
5824,5883,QRS
5897,5960,T
5968,5999,P
6009,6064,QRS
6080,6120,T
6159,6182,P
6194,6259,QRS
6265,6303,T
6344,6369,P
6379,6429,QRS
6451,6515,T
6531,6555,P
6566,6606,QRS
6636,6702,T
6718,6740,P
6750,6781,QRS
6819,6892,T
6904,6926,P
6929,6968,QRS
7003,7047,T
7088,7111,P
7116,7150,QRS
7164,7208,T
7230,7299,QRS
7343,7401,T
7449,7475,P
7483,7544,QRS
7560,7609,T
7638,7660,P
7671,7701,QRS
7736,7784,T
7822,7848,P
7857,7886,QRS
7924,7969,T
8010,8032,P
8035,8072,QRS
8109,8156,T
8195,8218,P
8223,8257,QRS
8299,8340,T
8379,8401,P
8407,8441,QRS
8478,8524,T
8563,8588,P
8592,8623,QRS
8666,8712,T
8749,8775,P
8782,8815,QRS
8857,8899,T
8940,8963,P
8972,9000,QRS
9045,9086,T
9124,9150,P
9156,9195,QRS
9225,9275,T
9312,9335,P
9343,9375,QRS
9415,9461,T
9499,9521,P
9524,9562,QRS
9598,9645,T
9684,9708,P
9711,9743,QRS
9788,9831,T
9866,9893,P
9896,9929,QRS
9968,10020,T
10053,10078,P
10082,10119,QRS
10156,10204,T
10236,10263,P
10268,10303,QRS
10341,10386,T
10423,10448,P
10455,10484,QRS
10526,10569,T
10609,10632,P
10643,10668,QRS
10710,10758,T
10791,10817,P
10825,10857,QRS
10895,10940,T
10976,11004,P
11008,11044,QRS
11084,11126,T
11168,11191,P
11195,11231,QRS
11268,11314,T
11352,11377,P
11379,11413,QRS
11454,11498,T
11540,11561,P
11564,11602,QRS
11639,11681,T
11726,11747,P
11757,11787,QRS
11823,11873,T
11903,11932,P
11935,11974,QRS
12010,12056,T
12094,12118,P
12124,12158,QRS
12196,12239,T
12279,12303,P
12312,12343,QRS
12380,12428,T
12462,12485,P
12494,12524,QRS
12563,12610,T
12648,12670,P
12678,12711,QRS
12749,12795,T
12834,12857,P
12867,12893,QRS
12933,12980,T
13017,13041,P
13050,13081,QRS
13120,13165,T
13199,13225,P
13229,13260,QRS
13305,13350,T
13385,13409,P
13412,13447,QRS
13485,13535,T
13568,13591,P
13597,13627,QRS
13670,13709,T
13752,13774,P
13783,13813,QRS
13852,13899,T
13932,13957,P
13960,13996,QRS
14034,14080,T
14116,14140,P
14146,14179,QRS
14217,14264,T
14298,14323,P
14331,14359,QRS
14400,14447,T
14488,14508,P
14519,14548,QRS
14589,14633,T
14667,14694,P
14699,14732,QRS
14766,14817,T
14853,14877,P
14887,14916,QRS
14954,15002,T
15038,15060,P
15063,15097,QRS
15139,15185,T
15220,15245,P
15249,15282,QRS
15322,15367,T
15406,15430,P
15434,15469,QRS
15506,15556,T
15588,15613,P
15617,15650,QRS
15690,15740,T
15778,15800,P
15811,15841,QRS
15878,15927,T
15962,15987,P
15994,16026,QRS
16063,16112,T
16149,16171,P
16175,16212,QRS
16248,16300,T
16334,16358,P
16360,16393,QRS
16435,16481,T
16518,16542,P
16547,16582,QRS
16621,16667,T
16703,16731,P
16734,16768,QRS
16811,16855,T
16895,16921,P
16928,16960,QRS
16998,17044,T
17084,17106,P
17110,17146,QRS
17183,17232,T
17271,17294,P
17301,17333,QRS
17373,17419,T
17457,17481,P
17491,17521,QRS
17558,17603,T
17643,17667,P
17669,17703,QRS
17742,17791,T
17830,17853,P
17857,17893,QRS
17930,17978,T
18015,18039,P
18043,18076,QRS
18118,18164,T
18202,18226,P
18229,18262,QRS
18308,18351,T
18388,18414,P
18418,18453,QRS
18491,18538,T
18576,18602,P
18604,18642,QRS
18679,18726,T
18764,18788,P
18792,18828,QRS
18866,18912,T
18953,18976,P
18982,19017,QRS
19055,19099,T
19142,19166,P
19176,19206,QRS
19243,19289,T
19330,19355,P
19364,19395,QRS
19430,19475,T
19519,19542,P
19547,19581,QRS
19623,19668,T
19708,19730,P
19734,19770,QRS
19804,19854,T
19893,19919,P
19924,19958,QRS
20002,20040,T
20084,20108,P
20112,20148,QRS
20188,20230,T
20273,20296,P
20302,20337,QRS
20376,20418,T
20468,20488,P
20493,20529,QRS
20570,20610,T
20657,20681,P
20686,20720,QRS
20760,20805,T
20852,20873,P
20877,20912,QRS
20951,20995,T
21040,21063,P
21067,21103,QRS
21137,21187,T
21234,21256,P
21261,21295,QRS
21335,21379,T
21426,21451,P
21455,21490,QRS
21527,21576,T
21623,21645,P
21650,21686,QRS
21725,21778,T
21813,21837,P
21840,21873,QRS
21883,21964,T
22003,22032,P
22041,22090,QRS
22104,22165,T
22204,22226,P
22231,22266,QRS
22304,22346,T
22399,22424,P
22428,22461,QRS
22499,22554,T
22600,22622,P
22628,22662,QRS
22699,22757,T
22796,22819,P
22823,22859,QRS
22900,22938,T
22997,23019,P
23023,23059,QRS
23096,23150,T
23193,23217,P
23225,23257,QRS
23294,23352,T
23390,23414,P
23418,23453,QRS
23492,23552,T
23588,23611,P
23620,23648,QRS
23689,23746,T
23786,23810,P
23814,23848,QRS
23889,23948,T
23980,24003,P
24010,24043,QRS
24083,24134,T
24173,24197,P
24202,24235,QRS
24273,24321,T
24367,24389,P
24395,24428,QRS
24468,24512,T
24557,24582,P
24585,24618,QRS
24658,24703,T
24749,24772,P
24774,24812,QRS
24850,24894,T
24939,24962,P
24974,25003,QRS
25042,25087,T
25130,25153,P
25156,25195,QRS
25229,25275,T
25322,25344,P
25349,25384,QRS
25423,25469,T
25513,25535,P
25538,25575,QRS
25617,25658,T
25699,25722,P
25724,25763,QRS
25797,25847,T
25890,25912,P
25917,25949,QRS
25992,26038,T
26083,26107,P
26112,26149,QRS
26185,26231,T
26278,26301,P
26311,26341,QRS
26380,26424,T
26469,26495,P
26502,26534,QRS
26573,26624,T
26662,26687,P
26694,26727,QRS
26763,26823,T
26859,26880,P
26891,26920,QRS
26959,27007,T
27051,27074,P
27078,27111,QRS
27157,27208,T
27247,27268,P
27271,27308,QRS
27347,27393,T
27439,27461,P
27464,27501,QRS
27542,27602,T
27632,27655,P
27658,27695,QRS
27734,27781,T
27825,27848,P
27852,27889,QRS
27928,27980,T
28021,28043,P
28046,28079,QRS
28120,28177,T
28215,28237,P
28244,28277,QRS
28295,28376,T
28416,28438,P
28446,28487,QRS
28510,28556,T
28617,28638,P
28646,28692,QRS
28713,28769,T
28814,28837,P
28848,28879,QRS
28910,28963,T
29016,29039,P
29043,29078,QRS
29117,29168,T
29213,29239,P
29242,29294,QRS
29320,29368,T
29418,29437,P
29443,29480,QRS
29516,29590,T
29616,29637,P
29640,29680,QRS
29714,29764,T
29808,29831,P
29845,29869,QRS
29912,29970,T
30012,30035,P
30038,30079,QRS
30115,30169,T
30214,30235,P
30242,30283,QRS
30311,30357,T
30406,30431,P
30441,30479,QRS
30506,30563,T
30607,30629,P
30634,30668,QRS
30709,30762,T
30802,30824,P
30834,30864,QRS
30904,30960,T
30997,31019,P
31024,31059,QRS
31099,31148,T
31190,31212,P
31222,31251,QRS
31291,31335,T
31383,31405,P
31416,31445,QRS
31482,31538,T
31580,31602,P
31604,31642,QRS
31680,31737,T
31775,31799,P
