ROILimits_1,ROILimits_2,Value
60,79,P
108,129,QRS
161,204,T
218,241,P
267,288,QRS
318,364,T
370,393,P
419,440,QRS
470,501,T
529,550,P
576,597,QRS
628,658,T
685,708,P
729,754,QRS
786,831,T
839,862,P
889,909,QRS
942,983,T
999,1021,P
1048,1068,QRS
1099,1130,T
1156,1179,P
1207,1227,QRS
1257,1304,T
1310,1333,P
1361,1381,QRS
1410,1455,T
1469,1492,P
1519,1540,QRS
1572,1616,T
1623,1647,P
1671,1695,QRS
1724,1772,T
1781,1805,P
1833,1853,QRS
1882,1914,T
1942,1965,P
1991,2011,QRS
2042,2072,T
2095,2117,P
2144,2164,QRS
2194,2238,T
2251,2273,P
2299,2319,QRS
2349,2381,T
2406,2430,P
2457,2477,QRS
2509,2539,T
2561,2584,P
2609,2631,QRS
2662,2707,T
2717,2739,P
2768,2787,QRS
2814,2863,T
2874,2896,P
2923,2944,QRS
2971,3013,T
3041,3063,P
3077,3097,QRS
3127,3173,T
3183,3206,P
3234,3253,QRS
3284,3315,T
3342,3365,P
3391,3412,QRS
3443,3474,T
3496,3520,P
3545,3567,QRS
3597,3642,T
3655,3678,P
3701,3724,QRS
3756,3800,T
3811,3836,P
3858,3881,QRS
3912,3958,T
3966,3990,P
4015,4038,QRS
4069,4098,T
4123,4147,P
4174,4194,QRS
4225,4255,T
4283,4306,P
4332,4352,QRS
4383,4426,T
4440,4463,P
4486,4509,QRS
4539,4587,T
4593,4618,P
4645,4664,QRS
4695,4743,T
4752,4777,P
4802,4823,QRS
4854,4901,T
4912,4936,P
4962,4983,QRS
5012,5060,T
5067,5090,P
5112,5137,QRS
5167,5216,T
5225,5248,P
5272,5295,QRS
5326,5374,T
5383,5406,P
5433,5452,QRS
5483,5513,T
5539,5563,P
5584,5608,QRS
5638,5669,T
5696,5718,P
5740,5765,QRS
5795,5842,T
5855,5877,P
5903,5924,QRS
5955,5999,T
6014,6036,P
6057,6081,QRS
6110,6142,T
6163,6191,P
6214,6236,QRS
6266,6299,T
6330,6352,P
6373,6410,QRS
6433,6478,T
6482,6505,P
6531,6568,QRS
6583,6633,T
6641,6660,P
6680,6733,QRS
6744,6785,T
6795,6832,P
6846,6882,QRS
6895,6931,T
6956,6978,P
7007,7039,QRS
7066,7089,T
7114,7139,P
7164,7185,QRS
7231,7261,T
7274,7297,P
7325,7345,QRS
7375,7423,T
7434,7455,P
7478,7504,QRS
7534,7580,T
7592,7616,P
7638,7663,QRS
7695,7740,T
7750,7773,P
7801,7821,QRS
7850,7883,T
7910,7931,P
7960,7980,QRS
8010,8042,T
8073,8102,P
8123,8144,QRS
8174,8221,T
8229,8252,P
8280,8300,QRS
8329,8374,T
8388,8409,P
8433,8457,QRS
8486,8520,T
8547,8570,P
8598,8618,QRS
8649,8679,T
8704,8728,P
8756,8776,QRS
8806,8852,T
8865,8888,P
8910,8936,QRS
8966,9012,T
9027,9047,P
9075,9095,QRS
9127,9157,T
9186,9207,P
9236,9256,QRS
9286,9336,T
9343,9365,P
9385,9413,QRS
9442,9475,T
9505,9527,P
9554,9576,QRS
9609,9653,T
9672,9696,P
9721,9742,QRS
9772,9820,T
9831,9855,P
9878,9902,QRS
9935,9978,T
9999,10023,P
10047,10067,QRS
10099,10143,T
10161,10185,P
10202,10231,QRS
10264,10310,T
10321,10347,P
10372,10393,QRS
10425,10472,T
10488,10513,P
