ROILimits_1,ROILimits_2,Value
39,81,P
87,113,QRS
145,203,T
237,261,P
270,303,QRS
326,382,T
414,440,P
455,479,QRS
504,558,T
589,617,P
630,663,QRS
682,736,T
771,798,P
808,830,QRS
863,918,T
962,990,P
999,1022,QRS
1055,1111,T
1145,1189,P
1193,1221,QRS
1256,1313,T
1328,1365,P
1389,1427,QRS
1449,1503,T
1539,1568,P
1582,1607,QRS
1633,1690,T
1719,1746,P
1762,1798,QRS
1812,1869,T
1897,1922,P
1939,1968,QRS
1988,2046,T
2073,2099,P
2115,2151,QRS
2164,2222,T
2266,2290,P
2290,2317,QRS
2340,2398,T
2424,2449,P
2455,2482,QRS
2516,2575,T
2601,2627,P
2642,2669,QRS
2693,2752,T
2781,2806,P
2821,2861,QRS
2872,2928,T
2960,2985,P
3001,3028,QRS
3050,3106,T
3139,3165,P
3176,3197,QRS
3229,3287,T
3319,3344,P
3360,3389,QRS
3411,3466,T
3499,3524,P
3540,3576,QRS
3589,3646,T
3675,3701,P
3716,3754,QRS
3768,3822,T
3853,3878,P
3893,3938,QRS
3944,4000,T
4030,4054,P
4069,4098,QRS
4119,4176,T
4204,4229,P
4243,4282,QRS
4295,4349,T
4376,4402,P
4417,4457,QRS
4469,4525,T
4552,4578,P
4594,4621,QRS
4645,4703,T
4728,4754,P
4769,4811,QRS
4821,4879,T
4906,4932,P
4946,4985,QRS
4997,5054,T
5083,5109,P
5125,5162,QRS
5176,5230,T
5263,5289,P
5300,5321,QRS
5355,5412,T
5444,5470,P
5484,5526,QRS
5537,5591,T
5627,5653,P
5668,5709,QRS
5720,5773,T
5811,5836,P
5852,5892,QRS
5902,5957,T
5993,6019,P
6033,6072,QRS
6084,6137,T
6173,6199,P
6213,6254,QRS
6265,6316,T
6353,6379,P
6395,6421,QRS
6445,6498,T
6534,6560,P
6576,6616,QRS
6626,6679,T
6715,6742,P
6756,6795,QRS
6807,6860,T
6897,6922,P
6936,6975,QRS
6988,7041,T
7077,7103,P
7117,7142,QRS
7170,7222,T
7259,7285,P
7301,7343,QRS
7351,7406,T
7443,7469,P
7485,7523,QRS
7535,7589,T
7630,7655,P
7668,7708,QRS
7720,7773,T
7812,7838,P
7854,7893,QRS
7904,7958,T
7995,8023,P
8034,8056,QRS
8089,8144,T
8182,8208,P
8222,8251,QRS
8274,8329,T
8367,8393,P
8407,8448,QRS
8459,8514,T
8550,8576,P
8590,8632,QRS
8642,8697,T
8732,8757,P
8772,8812,QRS
8824,8879,T
8914,8939,P
8955,8980,QRS
9005,9058,T
9094,9121,P
9136,9172,QRS
9185,9239,T
9279,9304,P
9318,9361,QRS
9369,9424,T
9465,9492,P
9507,9552,QRS
9559,9613,T
9659,9686,P
9702,9740,QRS
9751,9807,T
9893,9932,QRS
9943,9998,T
10042,10070,P
10084,10127,QRS
10134,10191,T
10233,10261,P
10275,10321,QRS
10327,10383,T
10427,10454,P
10469,10509,QRS
10520,10575,T
10621,10648,P
10662,10702,QRS
10713,10768,T
10812,10840,P
10854,10896,QRS
10907,10963,T
10997,11035,P
11049,11096,QRS
11100,11158,T
11208,11235,P
11250,11289,QRS
11300,11356,T
11408,11435,P
11448,11489,QRS
11500,11554,T
11607,11634,P
11649,11673,QRS
11699,11756,T
11810,11836,P
11848,11877,QRS
11903,11959,T
12016,12043,P
12057,12096,QRS
12110,12164,T
12218,12245,P
12259,12298,QRS
12312,12366,T
12417,12445,P
12455,12477,QRS
12511,12568,T
12615,12643,P
12654,12676,QRS
12710,12765,T
12813,12842,P
12856,12885,QRS
12907,12962,T
13011,13039,P
13053,13094,QRS
13105,13160,T
13210,13238,P
13248,13270,QRS
13271,13362,T
13411,13439,P
13450,13472,QRS
13472,13562,T
13615,13641,P
13657,13683,QRS
13707,13763,T
13814,13840,P
13854,13894,QRS
13906,13961,T
14009,14037,P
14048,14069,QRS
14070,14159,T
14209,14236,P
14250,14275,QRS
14302,14359,T
14407,14437,P
14453,14492,QRS
14503,14560,T
14607,14635,P
14651,14690,QRS
14701,14758,T
14807,14834,P
14848,14891,QRS
14901,14957,T
15010,15037,P
15051,15095,QRS
15104,15159,T
15214,15241,P
15255,15298,QRS
15308,15363,T
15419,15446,P
15460,15509,QRS
15513,15571,T
15625,15652,P
15668,15712,QRS
15720,15776,T
15833,15861,P
15875,15915,QRS
15928,15982,T
16033,16060,P
16074,16120,QRS
16124,16183,T
16226,16254,P
16270,16308,QRS
16321,16376,T
16424,16453,P
16463,16485,QRS
16519,16574,T
16622,16650,P
16660,16682,QRS
16715,16773,T
16819,16846,P
16860,16894,QRS
16913,16968,T
17015,17042,P
17058,17090,QRS
17108,17164,T
17205,17234,P
17245,17267,QRS
17300,17358,T
17398,17426,P
17437,17459,QRS
17493,17551,T
17590,17618,P
17633,17674,QRS
17685,17741,T
17783,17810,P
17826,17858,QRS
17876,17932,T
17974,18003,P
18015,18043,QRS
18070,18128,T
18170,18198,P
18210,18231,QRS
18266,18324,T
18369,18396,P
18411,18449,QRS
18463,18518,T
18564,18592,P
18608,18647,QRS
18657,18715,T
18759,18786,P
18797,18819,QRS
18853,18908,T
18942,18984,P
18999,19029,QRS
19051,19107,T
19136,19181,P
19195,19234,QRS
19248,19303,T
19347,19374,P
19389,19416,QRS
19441,19499,T
19538,19565,P
19579,19622,QRS
19631,19687,T
19727,19756,P
19767,19789,QRS
19822,19878,T
19919,19946,P
19957,19978,QRS
20011,20068,T
20106,20132,P
20147,20188,QRS
20200,20255,T
20289,20318,P
20333,20371,QRS
20386,20441,T
20478,20505,P
20519,20557,QRS
20571,20627,T
20664,20691,P
20707,20748,QRS
20758,20815,T
20851,20878,P
20892,20933,QRS
20945,21002,T
21036,21063,P
21079,21119,QRS
21130,21185,T
21221,21247,P
21263,21290,QRS
21314,21369,T
21406,21433,P
21447,21484,QRS
21498,21552,T
21592,21619,P
21633,21672,QRS
21686,21740,T
21776,21810,P
21826,21851,QRS
21878,21933,T
21978,22006,P
22022,22054,QRS
22074,22130,T
22218,22252,QRS
22269,22323,T
22365,22392,P
22407,22436,QRS
22459,22513,T
22551,22578,P
22589,22611,QRS
22645,22700,T
22738,22766,P
22780,22820,QRS
22832,22886,T
22924,22953,P
22969,23007,QRS
23020,23074,T
23115,23143,P
23154,23175,QRS
23210,23267,T
23306,23334,P
23345,23367,QRS
23401,23457,T
23485,23525,P
23541,23578,QRS
23592,23647,T
23672,23717,P
23731,23764,QRS
23783,23837,T
23870,23907,P
23918,23940,QRS
23973,24030,T
24073,24102,P
24113,24135,QRS
24170,24225,T
24275,24302,P
24318,24358,QRS
24370,24425,T
24474,24503,P
24518,24559,QRS
24570,24623,T
24672,24701,P
24715,24760,QRS
24768,24823,T
24874,24901,P
24915,24940,QRS
24967,25022,T
25076,25104,P
25120,25163,QRS
25171,25225,T
25278,25307,P
25320,25355,QRS
25374,25427,T
25478,25506,P
25520,25567,QRS
25573,25629,T
25677,25705,P
25719,25767,QRS
25773,25828,T
25871,25903,P
25919,25962,QRS
